Retail and E-commerce,Online Sales Volume,$
trend,exponential_rising,periodic_stable,single_peak,stable_rising
Year,Millennials,Budget Shoppers,Urban Shoppers,Rural Buyers
1959,4100281.12,4822354.46,5816420.65,7464207.96
1960,4608102.83,6244838.96,6165346.66,7471582.4
1961,5298371.01,5719729.31,6237728.38,8127560.88
1962,5785538.05,4160981.59,6150711.23,8203909.94
1963,6437534.16,3759077.61,6957822.97,8764195.52
1964,6791312.63,5167556.72,6891962.0,8877438.16
1965,7589574.96,5965179.56,7418506.82,9725282.55
1966,8368473.64,5648247.01,8402190.91,9991184.75
1967,9252747.68,3912114.36,8812737.39,10339778.1
1968,9906974.68,3759390.14,8966724.5,10509719.37
1969,10967084.54,4943829.57,9515949.43,10312088.51
1970,12436016.23,6007446.37,9725577.11,11155743.05
1971,13556679.61,5504930.62,9737713.84,11514823.72
1972,14893651.17,4153853.87,9934531.95,12111178.99
1973,16280385.57,3824805.38,9451210.0,12285460.68
1974,18001965.05,5215349.11,8977934.7,12644470.99
1975,19858205.66,6188722.66,8848853.38,13130031.16
1976,21710187.04,5624499.98,8130651.06,13690044.65
1977,23832379.64,4553943.73,7694177.68,14030985.13
1978,26297099.52,3756791.32,7279129.23,14386426.99
1979,28804361.06,4765433.4,6662486.38,14654213.61
1980,31819045.8,6241552.07,6770813.36,14608094.48
1981,35156858.61,5734157.89,6196315.64,15087148.52
1982,38433076.65,4171999.63,5918992.4,15417009.46
1983,42610896.33,3695040.92,5713872.98,16267731.45
