Science and Engineering,Patent Applications,applications
trend,volatile_rising,single_peak
Year,Aether Corp,Starburst Enterprises
1959,6471.28,4691.97
1960,6963.15,4980.86
1961,7458.06,5172.51
1962,7913.32,5343.9
1963,8661.16,5852.31
1964,8938.85,6119.07
1965,9516.16,6493.3
1966,9991.38,6814.5
1967,10623.53,7239.03
1968,11075.2,7666.43
1969,11600.31,7754.63
1970,12170.96,7844.89
1971,12576.35,7746.54
1972,13094.19,7565.11
1973,13620.91,7263.87
1974,14148.75,6879.08
1975,14784.63,6412.28
1976,15238.68,5960.77
1977,15674.4,5675.98
1978,16290.98,5384.61
1979,16814.18,5153.97
1980,17279.18,4778.35
1981,17723.91,4677.58
