Social Media and Digital Media and Streaming,Ad Revenue,$
trend,volatile_rising,single_peak,periodic_stable
Year,OracleFeed,Luminara,NovaStream
1966,551870636.4,764041869.93,664936808.41
1967,596528722.42,809984459.01,832061506.74
1968,669858118.99,791891278.1,762355721.22
1969,698214185.42,831134005.08,591117541.65
1970,750298360.36,840914359.8,521809703.75
1971,790126982.79,909297707.91,669683304.94
1972,836675505.16,947627968.1,828609141.52
1973,903454455.75,1022580754.77,776344215.14
1974,918660549.57,1064841342.61,569996189.51
1975,988107193.92,1115969027.46,514904302.04
1976,1006562260.93,1166775595.95,671772955.09
1977,1100844645.18,1279837942.11,835905284.42
1978,1096864156.23,1274558285.67,763489946.85
1979,1159993170.87,1300109855.14,580388466.78
1980,1199462183.28,1280819217.2,511738138.14
1981,1278437416.69,1218369423.59,661460783.96
1982,1303723751.76,1169387721.32,827110343.82
1983,1349371360.59,1145551128.46,766628763.13
1984,1371037975.05,1069572939.91,569520609.24
1985,1446402410.21,993818069.11,510495164.52
1986,1473176150.46,982289743.72,685025284.1
1987,1538911913.75,862710297.23,821335755.7
1988,1566273782.17,810647518.41,771284071.39
1989,1622765144.27,794387475.05,574564777.4
1990,1677282963.47,820101663.82,507315969.52
1991,1688278718.71,775815805.13,681937688.95
1992,1767026024.47,725887140.07,839349078.73
