Social Media and Digital Media and Streaming,Subscription Revenue,$
trend,volatile_falling,bimodal_valley,bimodal_valley,bimodal_valley
Year,Luminara,AetherNet,OracleFeed,CrimsonLink
1958,216637743.48,205112573.09,172833317.11,102010048.17
1959,208393486.9,190278752.01,160198227.97,87293954.63
1960,195227666.06,157238123.08,123899807.93,74532838.21
1961,179424871.26,120754753.88,109195076.24,69147629.82
1962,167264211.18,104829206.38,93795625.2,55218083.94
1963,152651969.62,83175184.79,83012560.55,38715687.15
1964,142193563.67,77168986.86,60029559.47,28745762.23
1965,128653423.89,68440357.05,62369530.67,37391034.86
1966,113572606.9,82794907.43,67975446.42,34415172.49
1967,100488768.44,75063947.76,70509974.63,32829643.17
1968,90472303.69,90753786.92,79301948.31,49339115.21
1969,70855718.46,110248392.87,93105923.97,56845459.31
1970,61587751.34,129677836.53,105423331.73,65683179.04
1971,48750564.55,154705545.4,124372667.08,69970687.46
1972,35094196.16,144091507.93,127200583.52,72344958.37
1973,21425733.58,155832581.96,133022767.02,72802059.03
1974,10064319.19,143702154.61,115370306.16,64758283.65
1975,2190178.14,136621699.67,106368434.03,59152516.56
1976,2190178.14,123676296.16,95786676.12,53783253.75
1977,2190178.14,102221556.59,79340212.95,45406241.5
1978,2190178.14,91278400.01,71701470.7,43657343.38
1979,2190178.14,71355374.21,71153555.91,41917166.07
1980,2190178.14,69704804.97,72319714.31,37199368.32
1981,2190178.14,69816960.12,70198827.13,37661997.12
1982,2190178.14,82821708.88,74979376.78,44114794.15
1983,2190178.14,93721673.12,89249974.68,52266437.14
1984,2190178.14,111768279.8,103586781.32,63744310.2
1985,2190178.14,164822570.69,128259368.19,76279529.51
1986,2190178.14,199269314.67,155677912.06,82834341.62
1987,2190178.14,213146300.57,175351701.21,99004350.5
