Tourism and Hospitality,Restaurant Reservations,reservations/week
trend,exponential_falling,single_valley,volatile_rising,volatile_rising
Year,Casual Eateries,Street Food Hubs,Vegan Cafes,Rooftop Bars
1974,1108.44,1325.97,1170.61,864.39
1975,994.09,1255.48,1292.89,929.55
1976,919.69,1112.07,1402.35,979.73
1977,784.43,1105.86,1498.14,1104.82
1978,739.97,879.62,1626.18,1200.98
1979,665.22,863.17,1684.77,1192.56
1980,611.74,714.03,1770.24,1291.27
1981,552.71,584.61,1850.55,1376.26
1982,464.07,655.4,1979.42,1357.27
1983,486.97,508.56,2072.54,1512.74
1984,370.43,440.73,2188.26,1569.33
1985,344.98,472.57,2242.05,1616.61
1986,276.7,556.41,2344.42,1722.35
1987,299.82,663.63,2455.0,1778.57
1988,282.23,637.45,2539.38,1810.37
1989,259.17,887.02,2625.34,1910.52
1990,188.48,936.54,2718.88,1983.08
1991,182.42,1071.83,2841.09,2104.5
1992,171.27,1230.29,2943.2,2158.43
1993,137.11,1217.07,3037.83,2191.77
1994,166.56,1376.81,3118.7,2252.37
1995,90.46,1349.81,3241.55,2358.53
