Business and Finance,Interest Rate,%
trend,exponential_falling,volatile_rising,bimodal_valley,single_peak
Year,Meridian Capital Market,Zenith Stock Exchange,Stellar Futures Market,Silverhaven Reserve Bank
1976,3.61,3.48,2.29,3.77
1977,3.31,3.67,1.79,3.76
1978,2.58,4.16,1.74,3.82
1979,2.72,4.16,1.19,3.95
1980,2.46,4.57,0.84,4.23
1981,2.2,4.32,0.66,4.31
1982,1.93,5.2,0.76,4.66
1983,1.65,5.52,0.82,5.15
1984,1.7,5.7,1.11,5.43
1985,1.13,6.3,0.92,5.4
1986,1.3,6.34,1.1,5.94
1987,1.01,6.69,1.49,5.86
1988,0.97,6.96,1.12,6.46
1989,1.08,7.54,1.13,5.95
1990,0.86,7.76,1.15,5.68
1991,0.93,8.07,0.84,5.8
1992,0.35,7.37,0.72,5.2
1993,0.59,7.8,0.95,5.21
1994,0.54,8.76,0.8,4.41
1995,0.37,8.92,0.75,4.38
1996,0.47,9.33,0.59,4.08
1997,0.17,9.34,1.07,3.94
1998,0.53,9.71,1.2,3.72
1999,0.54,9.97,1.5,3.67
2000,0.35,10.05,1.78,3.19
2001,0.36,10.49,2.18,3.68
