Cultural Trends and Influences,Music Festival Attendance,attendees
trend,bimodal_valley,single_valley
Year,Echo Bloom Festival,Terra Tempo Festival
1956,34549.34,119441.8
1957,34446.56,83058.47
1958,33953.97,76598.82
1959,32501.05,70728.04
1960,41861.95,54418.81
1961,44335.3,58907.42
1962,25789.23,51088.94
1963,31992.54,35267.34
1964,19192.38,26747.18
1965,35230.75,26179.83
1966,1000.0,38034.16
1967,11244.25,10959.37
1968,1158.25,33782.76
1969,1000.0,37609.86
1970,4981.84,25654.18
1971,37881.88,70705.51
1972,4371.72,68387.42
1973,3150.72,81115.29
1974,27386.16,67791.97
1975,43779.13,89011.53
