Cultural Trends and Influences,Cultural Event Funding,$
Year,Zenith Cultural Endowment,Silverhaven Arts Foundation,Aethelgard Cultural Council
trend,stable_falling,bimodal_peak,single_peak
1951,52236534.73,65758239.05,56552867.85
1952,55184892.5,70473216.53,61740399.16
1953,61838582.77,68844305.34,55951849.46
1954,33905775.91,89923334.49,51825385.68
1955,41285541.37,71396321.16,62369125.06
1956,65579293.03,97241146.59,62367359.18
1957,46350775.28,79455851.46,55177600.41
1958,65701831.93,94375836.63,72904023.99
1959,61271414.51,75605682.35,74289048.17
1960,75395142.12,90381673.77,83016643.26
1961,35939708.58,74579562.07,88075316.6
1962,70068805.98,71852934.41,74015317.97
1963,59585788.49,88391964.59,89942732.13
1964,70229504.45,78217211.48,89206922.26
1965,79736373.51,91976891.22,104318777.03
1966,79355719.62,78010262.02,84749682.81
1967,63564034.56,79338976.76,85421911.87
1968,94949101.66,97199704.38,72883417.95
1969,64961420.78,78496893.26,63063823.31
1970,70299057.74,88257964.02,67032366.69
1971,94293635.76,83887438.54,81363122.67
1972,75937261.71,96852857.19,85249844.12
1973,75335404.36,97532365.08,53994032.85
1974,79928062.93,77730869.77,38264614.92
1975,91018874.52,63922982.44,51205106.68
1976,91746377.96,73615790.8,53126779.9
1977,87302480.7,71385454.43,35846834.62
1978,93013261.34,86271328.75,44959707.45
