Food and Beverage Industry,Food Safety Index,index
Year,Stellar Bistro,Sky High Cafe,Crimson Plate,Emerald Diner,The Golden Spoon
trend,single_peak,volatile_rising,exponential_falling,periodic_stable,periodic_stable
1974,97.1,88.83,97.87,93.48,92.39
1975,90.95,100.75,83.44,115.41,115.67
1976,95.48,116.07,72.48,105.38,104.78
1977,102.31,112.83,61.52,81.51,78.61
1978,105.22,116.36,66.72,70.89,69.54
1979,110.64,130.4,52.84,91.99,91.35
1980,120.02,139.4,47.31,114.7,113.82
1981,128.16,148.62,40.77,106.59,102.76
1982,143.21,141.04,42.8,78.79,79.93
1983,140.5,171.79,38.34,69.18,69.85
1984,150.35,173.34,31.33,92.86,94.19
1985,155.23,173.19,32.41,112.97,116.23
1986,156.99,175.46,24.67,104.49,105.54
1987,162.95,184.01,24.96,78.85,77.89
1988,160.03,201.98,16.8,69.83,70.45
1989,153.07,202.54,15.94,92.64,91.76
1990,154.3,210.91,20.57,112.7,114.26
1991,142.87,208.66,13.15,107.1,105.78
1992,132.87,220.9,12.03,77.64,77.81
1993,126.94,233.99,14.16,68.14,68.72
1994,114.63,233.85,9.99,92.9,90.47
1995,111.54,254.2,8.13,111.77,112.0
1996,107.12,257.92,9.57,104.2,104.0
1997,98.78,260.04,7.96,77.69,76.34
1998,92.16,270.66,4.51,69.74,71.22
1999,96.88,275.53,7.23,93.26,91.34
2000,97.73,278.2,4.25,114.94,114.9
2001,95.04,287.5,5.9,103.77,104.48
