Food and Beverage Industry,Customer Traffic,customers/day
trend,exponential_falling,single_peak,bimodal_valley,stable_falling,bimodal_peak,stable_rising,bimodal_peak
Year,Stellar Bistro,The Cozy Nook,The Golden Spoon,Emerald Diner,Sky High Cafe,The Rusty Kettle,Crimson Plate
1968,523.09,507.19,413.34,470.49,670.15,490.34,693.13
1969,376.33,461.02,329.93,482.55,678.9,546.49,738.97
1970,393.53,500.37,198.4,475.52,769.15,509.36,815.65
1971,360.85,579.78,149.98,545.42,785.79,578.97,780.71
1972,349.58,621.33,111.02,558.72,910.38,591.25,837.48
1973,200.03,617.54,217.07,568.18,845.46,631.8,835.03
1974,230.98,701.08,147.22,619.48,857.34,647.03,916.56
1975,275.7,744.28,101.77,628.03,887.81,689.76,894.1
1976,181.32,823.28,86.03,665.25,818.27,664.82,870.86
1977,225.08,835.82,102.09,601.45,880.16,680.69,891.43
1978,188.82,874.21,225.59,636.48,817.38,764.37,911.82
1979,220.73,868.75,126.01,685.76,858.3,763.52,857.54
1980,171.19,850.27,221.58,706.15,834.02,810.41,889.04
1981,111.94,920.05,160.52,687.33,799.55,787.63,779.58
1982,175.18,839.74,189.23,785.48,854.91,877.75,795.52
1983,86.41,820.01,200.25,743.74,845.09,832.05,823.51
1984,90.63,805.31,129.05,746.18,888.32,908.24,839.61
1985,74.66,697.63,140.52,759.13,877.25,956.61,876.4
1986,80.67,652.93,159.41,775.28,839.43,926.06,936.57
1987,87.68,625.34,139.34,806.92,853.65,939.32,841.09
1988,5.0,611.19,89.03,832.67,859.3,906.14,899.64
1989,86.78,569.3,142.27,775.48,896.59,1030.32,895.88
1990,113.21,566.72,183.56,859.1,837.09,1012.8,815.36
1991,5.0,549.32,223.28,894.21,775.32,981.42,802.09
1992,64.03,509.37,227.29,881.9,723.52,1108.28,687.97
1993,5.0,506.25,362.72,884.39,678.76,1086.55,729.76
