Healthcare and Health,Life Expectancy,years
Year,Verdant Ward,Sector Beta,Stellar City Core,Crimson Quarter,Outer Rim Settlements,Azure Enclave
trend,volatile_falling,exponential_falling,volatile_rising,stable_falling,bimodal_peak,stable_falling
1950,78.67,79.67,79.65,79.82,110.11,79.85
1951,73.96,72.01,87.73,82.73,116.87,82.79
1952,69.16,67.29,92.88,84.35,124.12,85.83
1953,66.95,58.66,98.23,86.82,130.75,86.62
1954,61.04,53.27,105.57,89.88,137.6,89.35
1955,56.36,47.79,112.33,91.22,140.35,90.64
1956,52.69,42.13,117.37,94.97,143.96,93.26
1957,45.43,37.83,125.99,96.08,143.63,96.68
1958,41.66,34.44,132.62,98.77,142.95,99.09
1959,39.54,30.24,137.27,99.59,141.93,102.14
1960,29.42,28.31,142.45,103.55,140.89,104.36
1961,27.62,26.98,150.29,107.26,138.69,106.59
1962,25.14,22.11,156.14,108.35,139.46,108.07
1963,20.17,19.89,161.92,110.53,138.96,111.03
1964,12.54,17.81,169.3,113.95,140.2,114.54
1965,9.39,14.94,177.16,116.39,142.97,117.68
1966,4.12,14.52,182.66,119.96,142.27,117.67
1967,0.8,11.75,187.97,120.72,144.07,120.14
1968,0.8,12.54,196.56,123.82,142.72,122.99
1969,0.8,12.11,200.51,124.81,140.79,126.85
1970,0.8,9.91,206.21,128.13,135.99,128.07
1971,0.8,8.77,215.61,130.66,131.27,130.23
1972,0.8,7.54,221.49,131.58,123.38,132.82
1973,0.8,6.91,226.15,136.19,116.89,134.27
