Retail and E-commerce,Online Sales Volume,$
Year,Subscription Members,Budget Shoppers,Millennials,Rural Buyers,International Customers,Urban Shoppers,Luxury Consumers
trend,bimodal_valley,single_valley,volatile_falling,volatile_rising,volatile_rising,volatile_falling,exponential_falling
2000,2438890.09,6048521.68,2815863.36,9122393.07,6195170.72,8256395.44,8051087.96
2001,1171238.21,4035160.68,4261689.48,7055350.65,1380912.47,4787579.85,6079921.76
2002,1971737.67,4713007.07,1774810.91,5430825.32,7148498.84,5245768.68,5650666.2
2003,3942997.16,1189069.35,4772029.91,3915317.41,4116408.31,2285492.05,5612451.78
2004,551457.8,2835300.46,5710125.65,4056732.39,3576533.48,3066523.96,5452781.48
2005,763788.15,2193335.02,4141230.13,6729956.97,4706139.52,3161549.54,1858405.94
2006,2390029.95,1551969.01,1216131.42,9347570.13,9031158.79,2572307.02,2907690.59
2007,107984.8,50000.0,2907826.12,6303223.2,9411005.28,1784865.03,2594700.43
2008,740212.93,1135316.04,1150318.8,7935171.45,5986284.57,4487114.6,1148479.17
2009,955339.94,1161321.25,3797374.22,10154183.48,8017759.51,2518496.37,93711.56
2010,50000.0,2655956.75,449624.72,10366725.16,7317923.91,2002820.71,3645391.11
2011,565632.76,1470946.11,2700962.89,11478939.52,8638495.99,3289683.4,3762897.61
2012,50000.0,1050253.28,50000.0,12108479.91,10579075.58,2502781.41,50000.0
2013,2839153.84,567696.28,4072199.32,10664180.94,10302762.86,928891.12,2580279.55
2014,50000.0,3545144.98,50000.0,11221424.11,9624857.51,566590.02,1536538.18
2015,1787521.99,1614501.56,3970730.97,10045722.02,12666513.24,442011.82,584890.22
2016,50000.0,1839007.48,50000.0,9225324.27,11745040.02,3470872.97,50000.0
2017,50000.0,3674297.22,1399790.2,13808032.77,8148091.01,1494556.39,50000.0
2018,367682.4,1606694.17,50000.0,12287734.47,11586552.31,50000.0,1929309.92
2019,1563961.26,3877865.77,3704525.18,14053991.67,13660131.86,50000.0,50000.0
