Science and Engineering,R&D Investment,$
Year,Aether Corp,Starburst Enterprises,Nova Industries,Luminara Solutions
trend,bimodal_peak,volatile_rising,stable_falling,stable_rising
1960,14078504.61,9166950.18,9809352.71,10030393.32
1961,14088338.94,12900341.79,9596627.61,8606972.26
1962,13828374.13,11066905.61,10706994.82,9580928.24
1963,16402222.28,11318772.04,11631805.83,11906222.83
1964,17814693.06,13602647.98,8450322.29,11139594.96
1965,18892171.35,12346370.29,10023416.05,13066442.3
1966,21301364.18,14545121.27,12231424.83,10070714.51
1967,17643344.84,14034100.23,11645373.89,12968281.5
1968,16068730.37,16616665.95,11358601.55,13727083.18
1969,14989186.17,16625456.79,14108848.91,16064848.11
1970,15244001.85,20053179.96,12412956.29,16800401.16
1971,16559371.74,18317618.3,12786471.79,17293978.59
1972,17359668.63,16446852.73,11891800.28,16157206.56
1973,17146754.98,18857740.97,12617916.1,15179236.26
1974,14975631.96,21431087.04,16785982.06,18005922.34
1975,14972116.2,22575187.04,15733039.34,15959188.37
1976,18168128.98,24637843.75,15068247.66,18758208.38
1977,15828274.4,22113504.32,14491368.76,20122713.72
1978,15649021.01,25492179.25,14226966.09,20830694.41
1979,19267450.38,22267732.95,17406863.94,18112986.15
1980,18235197.51,23037367.71,16616237.12,18367889.95
1981,19596513.56,27109691.5,16250670.2,21290852.5
1982,17738696.63,29683519.73,17712246.45,21451777.97
1983,16208006.85,30125554.11,17229600.26,22956063.97
1984,16545248.81,30664862.24,15469191.9,23100111.29
1985,15499304.84,27488795.38,17237854.22,20708333.14
1986,12088530.36,31849176.94,18791823.48,21501153.92
