Science and Engineering,Engineering Graduates,students
Year,Nova Institute,Starburst College,Aether University,Oracle Labs,Echo Research,Crimson Foundation,Luminara Academy
trend,volatile_rising,exponential_falling,bimodal_valley,exponential_rising,stable_falling,bimodal_valley,exponential_rising
1991,865.16,1011.25,129.1,1046.4,993.41,69.58,964.52
1992,1107.2,998.95,10.0,986.47,937.01,10.0,1019.6
1993,1217.43,866.43,10.0,1268.47,1113.7,10.0,1204.41
1994,1014.83,798.62,10.0,1326.64,1030.36,10.0,1316.35
1995,1217.2,783.97,10.0,1472.65,1209.8,10.0,1522.85
1996,1310.76,528.3,10.0,1473.57,1219.12,10.0,1523.02
1997,1393.52,482.54,10.0,1685.35,1173.93,10.0,1796.16
1998,1373.53,439.72,10.0,1956.69,1222.67,10.0,2016.8
1999,1516.02,358.45,10.0,2109.29,1196.65,10.0,2090.36
2000,1837.76,416.3,77.64,2409.56,1305.87,10.0,2416.13
