Social Media and Digital Media and Streaming,Content Uploads,uploads/day
Year,AetherNet,OracleFeed,NovaStream,Starburst Online,Luminara,EchoWave
trend,volatile_falling,single_peak,stable_falling,periodic_stable,bimodal_valley,exponential_rising
1989,9260665.69,14331444.96,8112161.86,9272163.14,4524036.11,11097340.22
1990,12282177.19,9769380.03,10339076.07,12055388.05,1188157.57,13916600.23
1991,7797207.26,15266895.19,9937911.19,11666716.76,5139532.27,12542850.37
1992,6664071.27,13525659.83,10136452.31,6932448.76,2673255.92,13567365.5
1993,7299897.2,12461036.03,11877284.73,7768398.88,3218831.21,16925642.5
1994,9225122.5,17556177.87,12684798.96,8482011.88,975313.81,15996647.72
1995,9530580.0,18423636.72,13347542.27,12015940.97,100000.0,13672229.0
1996,3531869.15,16352893.8,11976991.7,11337623.8,100000.0,20535557.26
1997,4406626.33,17958727.72,13269306.23,8381103.52,240355.92,23770998.24
1998,5461083.55,15803606.24,12400375.93,7009279.67,3256601.39,22509550.12
1999,6441574.7,16071608.44,13109981.49,9761510.16,100000.0,26258649.42
2000,100000.0,15711921.76,12035211.06,11530109.74,100000.0,27021864.41
2001,3321771.95,16026953.55,11762646.99,10733819.07,100000.0,32031276.85
2002,1358271.85,15144365.99,15183663.86,8166103.41,1313674.68,35065051.05
2003,2643726.19,14832106.92,14062281.48,6655163.98,4686785.12,37762522.1
2004,100000.0,9396154.25,12341778.81,9984967.46,4347298.29,40553897.04
2005,2888037.58,11665746.06,15217322.33,11663733.43,3781692.31,46059582.64
