Sports and Entertainment,TV Ratings,million viewers
Year,Luminara TV,Crimson Vision,Echo Sports Network,AetherSports Channel
trend,single_peak,periodic_stable,stable_falling,exponential_falling
1999,4.87,5.11,5.2,5.59
2000,5.03,5.87,4.74,4.75
2001,5.94,5.56,5.58,4.76
2002,5.69,4.42,5.65,4.26
2003,5.92,3.97,4.92,3.74
2004,5.58,5.43,5.83,2.74
2005,7.27,6.25,6.18,2.31
2006,6.84,5.8,6.48,2.16
2007,7.46,4.3,6.78,1.91
2008,8.9,3.5,6.62,2.33
2009,8.35,4.72,5.99,1.69
2010,8.62,6.52,6.93,1.26
2011,9.13,5.91,7.99,1.78
2012,8.05,4.01,7.24,1.57
2013,7.92,3.5,6.61,1.21
2014,8.16,4.63,7.52,0.77
2015,9.0,6.28,6.48,0.98
2016,6.65,5.62,7.66,1.12
2017,6.9,4.73,7.61,1.16
2018,6.2,4.34,7.53,0.52
2019,5.37,5.35,7.67,0.68
2020,6.18,6.4,8.74,0.51
2021,5.24,5.54,8.29,0.98
2022,4.37,4.21,8.65,0.14
2023,4.83,4.0,8.38,0.21
2024,4.29,4.63,8.44,0.05
