Tourism and Hospitality,Flight Bookings,bookings/month
trend,exponential_falling,periodic_stable,volatile_rising,stable_falling,volatile_falling
Year,Regional Carriers,Last-Minute Deals,EcoFly,Charter Flights,Global Wings
1966,146461.17,130059.55,41303.82,179101.92,149092.05
1967,145719.61,212049.33,194634.91,199678.76,120391.47
1968,217941.18,173569.46,169625.47,168362.42,99702.37
1969,157740.54,129331.14,210918.76,95638.7,167820.68
1970,97605.49,139039.31,301872.85,133606.68,49079.57
1971,49339.98,146487.54,238701.45,220532.98,49530.11
1972,109397.58,176536.38,263559.19,125743.28,88910.1
1973,63824.51,178854.0,236708.1,181825.88,105043.24
1974,66564.31,146488.48,239719.35,231628.35,117168.43
1975,35628.97,117498.96,236934.55,184965.25,1500.0
