Tourism and Hospitality,Restaurant Reservations,reservations/week
Year,Fine Dining,Family Restaurants,Vegan Cafes,Casual Eateries,Fusion Kitchens,Street Food Hubs,Rooftop Bars
trend,stable_falling,stable_rising,stable_rising,volatile_falling,bimodal_valley,stable_falling,stable_falling
1975,1022.31,663.62,987.11,1177.57,694.65,768.05,1477.98
1976,1297.97,1134.74,1109.54,1507.21,394.12,935.72,1392.62
1977,1268.4,1251.97,705.82,715.69,277.78,1620.36,922.98
1978,1234.54,1112.12,1267.37,497.26,368.05,971.06,629.87
1979,1428.59,1298.25,1371.99,10.0,339.84,1088.61,1380.03
1980,1117.02,941.04,1451.49,863.68,431.62,764.97,1058.11
1981,1053.77,1225.36,1160.56,51.19,10.0,1254.58,1417.76
1982,1227.43,726.45,1264.76,1089.43,329.75,1239.95,1345.97
1983,1126.0,748.89,978.22,627.18,292.4,1642.95,1745.18
1984,1402.46,1316.98,1770.29,507.89,503.55,1288.54,1498.88
1985,1282.11,1204.35,2008.97,10.0,431.53,917.24,981.47
1986,1208.09,1933.28,1785.09,407.95,545.53,1452.35,1672.41
1987,1560.42,1290.26,1372.58,84.15,140.54,1387.02,1389.46
1988,1727.44,1754.8,1864.99,11.2,10.0,1586.24,1176.2
1989,1327.34,1675.47,2207.24,57.84,266.5,1179.36,1499.01
1990,1509.9,2003.24,2013.95,90.72,142.21,952.09,1523.93
1991,1598.32,1876.01,2050.15,10.0,32.82,1264.18,1332.02
1992,1173.38,1981.82,2333.28,593.66,376.77,1465.59,1719.12
1993,1344.18,2292.57,1900.54,129.51,10.0,886.29,1421.06
1994,1564.36,1559.88,1798.79,10.0,537.02,1561.44,1645.87
1995,1387.53,1698.9,1322.98,10.0,10.0,1957.22,2014.2
1996,1583.37,2243.79,1608.84,10.0,284.31,1699.49,1346.74
