Real Estate and Housing Market,Interconnected Housing Projects by Region
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Willow Creek Estate,4,Pinehill Townhomes,real_estate_agency_link
0,Willow Creek Estate,7,Maplewood Park Homes,lease_chain
0,Willow Creek Estate,1,Sunset Villas Complex,broker_affiliation
0,Willow Creek Estate,2,Riverstone Residences,property_exchange
0,Willow Creek Estate,5,Harborview Condominiums,broker_affiliation
1,Sunset Villas Complex,8,Crystal Bay Residence,real_estate_agency_link
1,Sunset Villas Complex,11,Oceanfront Horizon Estate,real_estate_agency_link
1,Sunset Villas Complex,3,Emerald Tower,lease_chain
1,Sunset Villas Complex,6,Golden Terrace Apartments,rental_agreement
1,Sunset Villas Complex,5,Harborview Condominiums,lease_chain
2,Riverstone Residences,11,Oceanfront Horizon Estate,rental_agreement
2,Riverstone Residences,1,Sunset Villas Complex,broker_affiliation
2,Riverstone Residences,7,Maplewood Park Homes,rental_agreement
2,Riverstone Residences,4,Pinehill Townhomes,lease_chain
2,Riverstone Residences,8,Crystal Bay Residence,rental_agreement
9,Lakeside Heights,8,Crystal Bay Residence,broker_affiliation
10,Hilltop Luxury Condos,7,Maplewood Park Homes,property_exchange
