Retail and E-commerce,E-Commerce Platform Interactions and Partnerships
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,UrbanMart Superstore,2,TechHive Electronics,affiliate_link
0,UrbanMart Superstore,9,OfficeDen Supplies,supplier_buyer
0,UrbanMart Superstore,3,GreenBasket Grocery,payment_channel
0,UrbanMart Superstore,5,Sparkle Jewelry,payment_channel
0,UrbanMart Superstore,8,SmartBuy Hypermart,logistics_flow
1,FashionLane Boutique,7,DailyStyle Apparel,payment_channel
1,FashionLane Boutique,2,TechHive Electronics,product_bundle
1,FashionLane Boutique,5,Sparkle Jewelry,logistics_flow
1,FashionLane Boutique,3,GreenBasket Grocery,supplier_buyer
1,FashionLane Boutique,8,SmartBuy Hypermart,product_bundle
2,TechHive Electronics,3,GreenBasket Grocery,supplier_buyer
2,TechHive Electronics,5,Sparkle Jewelry,logistics_flow
2,TechHive Electronics,9,OfficeDen Supplies,product_bundle
2,TechHive Electronics,8,SmartBuy Hypermart,payment_channel
2,TechHive Electronics,7,DailyStyle Apparel,logistics_flow
4,FurnitureCo Home Store,7,DailyStyle Apparel,logistics_flow
6,NextStep Shoe Center,8,SmartBuy Hypermart,affiliate_link
