Science and Engineering,Collaborative Links Between Research Labs and Universities
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Global Policy Institute,6,Center for Data Ethics,patent_sharing
0,Global Policy Institute,3,Biomedical Research Institute,patent_sharing
0,Global Policy Institute,7,Advanced Mathematics Institute,tech_transfer
0,Global Policy Institute,9,Cultural Heritage Institute,joint_lab
0,Global Policy Institute,4,Energy Innovation Lab,research_funding
1,Institute of Robotics and AI,2,Climate Research Center,tech_transfer
1,Institute of Robotics and AI,0,Global Policy Institute,co_authorship
1,Institute of Robotics and AI,9,Cultural Heritage Institute,patent_sharing
1,Institute of Robotics and AI,3,Biomedical Research Institute,joint_lab
1,Institute of Robotics and AI,6,Center for Data Ethics,tech_transfer
2,Climate Research Center,4,Energy Innovation Lab,patent_sharing
2,Climate Research Center,9,Cultural Heritage Institute,co_authorship
2,Climate Research Center,0,Global Policy Institute,patent_sharing
2,Climate Research Center,6,Center for Data Ethics,joint_lab
2,Climate Research Center,8,Neuroscience Research Group,research_funding
5,Ocean Studies Institute,4,Energy Innovation Lab,research_funding
