Sports and Entertainment,Key Stakeholders in Global Sports Events
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Alpha Research Team,3,Delta Innovation Crew,broadcast_right
0,Alpha Research Team,12,Nova Creative Taskforce,venue_booking
0,Alpha Research Team,9,Falcon Deployment Crew,ticket_sharing
0,Alpha Research Team,1,Beta Operations Group,match_schedule
0,Alpha Research Team,10,Atlas Engineering Unit,venue_booking
1,Beta Operations Group,4,Epsilon Design Team,ticket_sharing
1,Beta Operations Group,13,Draco Robotics Team,match_schedule
1,Beta Operations Group,3,Delta Innovation Crew,ticket_sharing
1,Beta Operations Group,9,Falcon Deployment Crew,venue_booking
1,Beta Operations Group,8,Lynx Data Science Team,ticket_sharing
2,Gamma Security Unit,5,Zeta Strategy Panel,ticket_sharing
2,Gamma Security Unit,11,Sierra Survey Team,venue_booking
2,Gamma Security Unit,8,Lynx Data Science Team,league_affiliation
2,Gamma Security Unit,1,Beta Operations Group,venue_booking
2,Gamma Security Unit,7,Phoenix Rescue Squad,venue_booking
6,Omega Testing Division,7,Phoenix Rescue Squad,venue_booking
