Science and Engineering,Research Funding,USD
Random fluctuation,Random fluctuation,Random fluctuation,Random fluctuation
Renewable Energy,Biotechnology,Artificial Intelligence,Nanotechnology
24899196.432593122,0.0,98171332.39546756,9337385.3484244
23623003.152947277,9369464.922691386,99288187.31747422,11889818.28539979
11321344.313853137,4093445.9805248473,92475935.93365091,0.0
23724101.919959925,9722842.246694101,84695896.64751437,7149839.262719019
32884794.25366886,11131652.896042448,95094143.85185963,23731613.04796689
50907812.39416531,18903847.959251944,99087468.18688038,57747681.672940284
31958928.419349354,19454493.193096597,99517313.5904108,60734915.41672979
24952758.60478969,15734838.050499575,98179213.45638913,49829531.37097268
19065565.68660823,28418010.18132184,100000000.0,50714133.12505172
8298808.151692451,24495753.275218293,94207103.98882258,63810300.890858375
9457608.044898093,26557799.2703662,71781647.13739625,72375905.48420255
0.0,32375765.562271718,70339531.74667001,71049581.23822996
7848691.852564179,35700717.02429848,78589387.38758118,100000000.0
20397541.69411627,37049225.55284038,73259514.9867405,98892714.94529471
19348238.802578453,35195277.38913281,67780156.44021349,94319627.23066539
37486336.85774656,49448202.8367298,71115221.67221634,91712984.31739888
29923678.57040446,62884300.46398116,70873257.52504647,93103921.8158795
42790253.624860466,71629700.07830518,65204588.12444011,82488557.83828807
17835951.588055667,76072192.02681015,71537366.59250803,81075180.7295234
15062042.340978457,71953538.39813565,74726849.07416005,73634573.32748507
7730888.285714955,57811134.26717508,55580246.1758239,77213309.98210211
26119153.80725473,65485488.09025336,54200112.98948205,92046927.40590738
50371440.739941075,72118369.84927048,44722667.002677925,86047063.16808681
38948003.08766079,78661814.41238222,38468069.38698727,83108153.67210168
50362111.6854982,77346676.48772168,42539299.41219525,89337441.47381203
60531406.25053222,74841619.27449964,35206120.2756377,73328936.16933544
88946380.27156456,78239461.53578393,15680630.34243193,62374118.9900829
87471904.67346177,87819584.36722448,30608866.434289724,40608753.42168162
100000000.0,74292012.21045896,25577849.627646837,28090031.370697543
74434406.43268338,89211984.01592131,21572879.124011785,25555171.201135214
83103354.15204675,100000000.0,19386367.604394466,41021196.23065262
77502655.56964885,81725441.01651512,25047582.610038154,38232945.35437022
79559443.53464969,90157307.76029241,34645843.696757264,37895206.11019906
82749095.6330259,95310608.06479223,40545708.35073839,55254739.310146205
78358249.19948284,88895029.82367268,35893561.554126665,51975560.96021081
75628644.86018671,74001052.85701336,28905455.542546697,59018139.158707574
65706285.109729834,87165771.01357158,26508498.8592523,60337056.278276965
56438755.19708036,91950059.07794823,18369241.49642963,77137870.18759853
49719059.2988379,89446448.21679296,13810256.287071848,94243032.06446695
59343097.12374058,87738027.27265576,18220632.6458886,93586842.12531698
46094386.91051694,75417612.46748209,22930512.413358863,74172736.9588326
37223050.788167514,80858828.80676425,8826431.59459289,80052523.95644672
50715448.55486078,82566235.97263066,10716862.025880229,65453754.81906236
38293680.131968744,86637454.58206986,0.0,59097584.5342364
53932427.9015752,77901453.62167993,14415502.52247023,68329453.04140253
60393403.027334414,70886044.29079953,18455995.298181374,62962214.09554348
60931559.26606324,62952109.35298028,19570022.965347085,32891869.797910128
42032830.500967465,52324939.67577174,31591355.022704672,55037884.66453491
15956988.256637672,52225969.88472975,37836175.65070711,37619793.063919835
2398776.0708634136,49470870.786344826,21236469.136470973,16367025.157280302
