Science and Engineering,Research Funding,USD
Single Peak Distribution,Random fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation
Renewable Energy,Nanotechnology,Artificial Intelligence,Quantum Computing,Space Exploration
6625521.658272954,90788474.28179544,52438152.9074461,4905020.490849279,0.0
8554775.415595928,96743051.81188291,47849733.33435809,8257649.650550932,4345094.896440834
5457279.25156043,100000000.0,43746011.565999605,15671746.826564357,8303213.6047786735
5537294.235238566,85164868.97848244,48800194.34601361,24734382.606783967,14705683.902547045
5341224.918528626,77254735.35176213,48900194.28100852,6593952.70636922,18598799.978354033
2422295.044602346,62659403.99842971,60633612.40352514,14764311.306815555,25384813.168078486
3167312.8608641853,61109539.29705433,70151643.06525487,7311155.649709921,17885455.892148376
2314315.523301511,45755462.42646653,73445958.17195974,10974550.032856368,22152889.41416264
6294895.227222973,45094211.63038848,74610233.54019162,10549469.100128843,25971676.777212936
10417361.571994092,58546513.610837504,68608148.2290066,9898283.587535769,28346386.667320468
11688900.801812245,55550270.57188402,54696081.29269111,7714330.982401603,36536585.883604676
11005318.413330648,62897515.431874804,63453311.379355706,7401951.394111907,41133623.23060041
3836592.6351601803,71716792.45279723,52418499.02407276,12676662.6246887,47603167.11005369
7356135.962442008,80923134.09148854,34898438.54493982,10057164.326745229,48947536.956768975
12233365.488515744,79768634.9969166,29007004.32020698,17764519.094639104,59724269.550993845
11456813.453115413,85932854.68407999,21668171.520063058,14918737.170848962,57064159.957378045
11433886.166480111,86464416.87823918,29482613.325619932,21427876.818908002,59474600.66494321
25379021.500063155,94501421.23159331,41382536.29141225,33691953.15098281,64937124.41766029
36052761.22116979,85990176.11523809,23803114.57013222,38179337.44828041,60500565.04974284
44260718.812010854,78238768.54606543,22047015.883361645,45249878.169154,57900113.786845356
57279780.01201254,77954458.29875337,12531400.42094529,63573800.1449405,63255979.68320652
73860395.21748602,66809359.369773924,1722599.6249069616,74855404.3191379,71490513.26199754
79478230.5470165,59654974.96455513,2038205.330524577,77251482.38360342,62204976.10198122
91775159.55971855,63010931.411692396,7315878.643862306,92400677.62250282,62447613.04089734
100000000.0,40880446.89344759,0.0,96016465.02721547,57499268.426814064
98699812.53370366,34632555.56759817,8460499.12176439,100000000.0,64823894.48749637
88821153.11992483,23022711.277619824,11209758.933302851,97359158.95589814,67461492.29983683
81144898.6998207,27390868.29062558,12253764.85498033,89283216.52765791,68677002.29669906
74728046.73093541,18558252.46114104,11988978.533030923,77644779.85754356,75855676.77164067
62179801.97826935,22401534.556635715,18873937.284270447,65296940.13601505,80669490.89686126
41996165.662275195,18504937.136296846,18216392.98841414,39264195.128042124,78577288.91494091
31962008.831872422,0.0,11661507.76886526,36690026.814644985,79333926.69208065
22765199.06598205,9253702.922313076,17339773.984465618,22014611.72045819,78681825.73667675
16000870.165552603,6223290.395675617,16362186.343385804,22243688.709107928,79663727.57084268
13790456.492089711,15773640.481321316,37258336.556554,18296509.693327192,86335786.61265157
5265678.659070076,18332107.380282924,56924447.14932228,14122055.14280733,94459011.39590167
7354475.386620424,23741068.707979966,55976804.76924153,16781875.71864763,97083244.17313561
20361852.594766065,30030832.974274028,60123945.329455756,14938578.905571075,98040899.34084068
0.0,23531607.36521832,78730731.00074792,15795218.083853144,96825070.84210819
6714464.485306663,19038038.457955282,87871874.73265786,2812290.6412254,98740476.80181527
6407257.45147491,13433149.044848839,88217080.64258209,14070150.193039246,92699519.46477464
9189343.789286064,17878212.397567432,82279186.91365953,12646417.921030134,92546124.1126459
4793640.757337898,10662497.351595879,84432686.20775956,7182157.341103304,100000000.0
10590722.838675125,19109599.081647985,82420513.52985011,18799190.179767795,99493517.81374046
5309584.391576666,32511714.400689833,83397957.70294671,412562.3113366667,92846295.94420686
5002493.885865198,34053488.41550859,82367974.63012259,13011738.623508153,95457111.17731726
6602072.0189426355,42409253.719949186,86234081.06569815,8425010.070957584,84161818.32834746
8071134.608191692,55255514.93041018,88439612.24023403,8641343.05090643,78380654.41270156
4702451.771304942,60260230.82778982,91138088.90320626,0.0,68784562.33383457
13137820.013324276,57782519.48758799,100000000.0,7885470.936655103,64328395.75121291
