Tourism and Hospitality,Tourism Spending,USD
Periodic fluctuation,Random fluctuation,Random fluctuation,Single Peak Distribution,Single Peak Distribution,Random fluctuation,Periodic fluctuation
Transportation,Adventure Activities,Shopping,Nightlife,Cultural Experiences,Dining,Sightseeing
5485.685545992141,7504.763189046627,1719.3916607586748,361.40251123228546,1347.7804618099399,6657.941922727186,5066.568934669311
6350.286120963638,8691.01899997049,1886.4016721157147,888.946967773559,909.9760597730603,7651.876324817181,5663.415139930737
8268.382666060017,9458.677702419283,201.9725595867483,721.2189960460022,945.880256463063,7789.440487668936,7578.884022762428
9509.166877993493,10000.0,1829.8966236060637,1543.0738820597128,526.6514876966874,8903.908116764283,8902.451545845199
9542.719647933522,9402.43517348618,2016.6746513426751,1099.1923569148223,308.9005735101322,8373.366896525979,8420.207681883341
9327.613433448285,9671.464701342395,1898.0973284883307,1567.8444963220045,981.5886219814391,10000.0,8581.040385133354
7746.034091027486,9813.957433877396,701.1759843588865,1470.0965733017924,1326.2630672415446,8807.126687040158,7567.467527456979
6083.901849209804,9689.223926983754,323.3728167531491,1511.046202843738,996.5296047601279,8566.858891618967,6543.038692671617
3985.098880064264,9122.86342124973,0.0,1828.377192957336,781.9340475502319,7659.477410251238,5132.488590671443
3016.8025896932677,8241.350909247076,2287.8308557275577,0.0,861.4062839079336,7771.274641763825,4380.668810285483
750.0158948413178,7739.767639735884,1922.4712920040556,2098.274812685645,688.6968807543154,6862.300399900621,2174.1579461877795
516.1752216694797,7412.373374477699,2207.3055926269926,1130.816049477364,1509.0785620393901,8156.179265616316,361.3148824388336
0.0,6857.493524871788,1050.1091273933212,1023.6256057794773,1263.4748270992527,7667.9322589332,486.39329084349293
893.5529421744413,7051.705488623832,2023.2228032593619,1437.275737484116,1343.5268814163428,8195.390628893723,817.5224077757282
2575.263872892623,6475.031153917153,2339.4754088178265,2100.045064988333,2136.544961911506,8107.166890530852,2509.236346230132
4438.07483326174,6140.315711080698,2687.5045398129637,2200.928216839244,1699.2067001651271,7718.345852045403,3443.1471021700827
6321.541510453142,6345.636276656649,3075.3663003690585,2062.8823000252873,2479.027369181851,7262.578096027545,4384.466707896053
