Tourism and Hospitality,Tourism Spending,USD
Periodic fluctuation,Random fluctuation,Periodic fluctuation,Random fluctuation
Sightseeing,Shopping,Adventure Activities,Transportation
5109.971335592522,1797.972053051713,4893.07715149768,2552.3353717313917
8890.139104308939,989.2801919796904,6526.896065417947,2463.8194084738357
9531.877042665183,227.49371955208673,8038.7130213101045,4323.446236627505
8570.142760474708,1914.8188480362624,10000.0,4327.996548232287
6316.386638730322,1567.6375968418033,8893.7963403215,4890.060186821467
4382.503734843133,1705.3965883628277,6835.372484668332,6697.256616895169
801.3801331631843,1297.4288485413063,4867.976899099183,6660.2263666487315
599.2994448014994,1821.0653526615392,1981.8311267829247,7960.952968227447
1935.328557093125,2261.797903481224,1527.2983517603934,10000.0
5607.941161225352,2861.5411462618267,819.6582665129724,9064.39444084113
9105.136781339146,1576.6037056155747,3013.0648645522997,8460.31812693498
9353.214630417644,2287.58943352518,3306.655827459549,8700.354275164282
9092.146272888664,0.0,5179.359010948655,5646.879275807332
6078.931976169869,1118.377498371587,7445.208681765287,6377.337261320346
4151.618769748095,1929.8611987059003,9157.389584986704,5381.545807458506
406.27085937425096,600.5557284753364,9622.781477887056,5771.8498550087115
860.7596507508605,1222.6660967798775,7311.71657096587,5374.423755393198
3484.8750417612528,1130.7609229443703,4683.510265321077,5060.433995026076
5691.371038582859,1528.3206915091503,3526.272224423586,6074.547921716492
7493.86091605617,2240.649416283026,2320.8178321322875,5307.3938984153965
10000.0,3773.553874432618,0.0,7051.583281453743
9227.321767504522,5215.195999864968,365.545563566342,5323.2844112132525
5988.505322699017,6616.259123907573,2117.8846055741565,4574.951312841068
3562.8255236505934,8357.371474077865,4286.791876918153,4046.5770421316333
1644.8547069198696,7405.940452090409,5458.654458994139,2622.5546222528324
763.7297886486091,8892.511132327894,8584.744380327442,3460.139786808748
3010.6926201897636,7811.327872518561,9677.854767985897,2377.51697972176
5769.113881009992,7328.766900576124,9509.899384520037,1028.2929801955597
7824.11394991511,6574.869589353621,7366.587756624019,742.3346680564299
9741.974796046037,7224.431473202133,4901.897609979732,1807.9780667672069
8458.917439366265,7434.668356953132,2484.2968458149007,2413.579092318965
6137.684332374071,6745.122212744062,2005.7747440637804,1246.3182729206826
3560.178488284656,7090.117621691055,860.5688846540922,2266.22193606826
2056.4499199674547,8311.890510982043,572.5652915325402,1775.765649839148
252.84341239186654,8375.131874143433,2565.660563794954,991.8178648209888
2808.1180138573895,9575.132340484617,5156.134453190183,2544.4811052686064
5336.7390559362275,10000.0,6698.198829047333,1538.3317128327662
7882.996175849714,9473.53481527751,9017.96580040182,962.212619666639
9826.774123637873,9187.740099722865,9782.481149117137,639.3813419084585
9532.429979691835,8322.260090411291,8019.598828953486,4788.962616080643
6149.751035628982,9411.737037988029,6278.557121638325,5360.733782655128
4118.067335541069,9376.939215162798,4445.881601424453,4202.720961749707
2051.582064575991,8032.0298571888725,558.7963961457889,2840.046056426138
0.0,8055.793417035107,150.60344932323957,2021.2062259295383
2881.806673186978,6545.635300277721,907.4273096036529,745.6211041245451
5524.6157165584455,6050.378188057979,842.9432239368625,1481.24958304364
8355.36234411144,5121.61220656589,3116.276513080331,1025.7193648167192
8669.107081877735,5334.591011998895,5116.640484932618,1065.632474305034
9492.595466903198,6227.536888631798,7894.596239263507,362.6690282612404
5496.851075802072,5509.324761170375,9337.89808630117,0.0
