Healthcare and Health,Healthcare Spending,USD/person
Periodic fluctuation,Random fluctuation,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Random fluctuation
Elective Procedures,Mental Health,Preventive Care,Surgical Treatments,Pediatric Care,Emergency Services
5172.062219405406,10000.0,1521.0929701343791,5330.66795592729,4983.744028531714,479.1955566874323
6947.9693662902055,8883.705267266163,1096.4783112924006,7230.025062350014,6850.391186485314,544.5145739056713
8353.222350829414,7347.119704921028,204.48921367565853,9767.850470355688,9579.021339033803,1646.829537669688
10000.0,6450.993978147013,516.1225376650608,8607.117053670363,8964.387058130931,1151.6512952372775
9483.761415338726,5352.8056873729365,393.8266948619457,4994.87307978554,6312.642863392267,2353.6375915479366
7531.263667318441,5487.302545789296,796.7782552360139,1396.8725217625213,3712.195445565959,2521.6631396796497
5042.9401720709475,6655.191217824232,116.50579423689406,135.5903452169374,2175.879201083309,2529.169529611735
3819.279877899136,4809.909571122301,1185.2533412356718,2184.678587554694,0.0,1161.453636016558
946.2823846635441,4760.411878154246,1083.7150696418269,4222.231351925556,2397.8709350570457,1214.9378701952357
456.0842902163613,3939.135230131604,1071.5012883771903,7081.995289812468,4421.673253564961,1752.5969013072424
0.0,3388.6517869834893,786.6116321221847,10000.0,7676.473045791283,2985.5315760855383
1960.6117566419132,3029.9543728214253,1101.637426549141,8871.194201879507,9346.639679915883,3513.7681080765883
4061.593471690847,2682.3133809279166,916.7326197719689,6059.976735139283,9190.838051862282,4430.841782515105
5242.635622963026,2111.018778721015,1155.400048544765,2637.8841152681125,7612.174901484929,4950.373813471867
8314.250698173979,2305.3010919789394,1253.6656519153296,731.1333393322925,4054.819866456448,5624.20561165338
9024.435519231663,1499.0295066575945,1323.8356540881753,414.8703554024363,1893.5564886702261,5052.915103267025
9379.641785472075,1756.958589816913,1570.1182479138333,2888.8450502087467,1410.2833008497194,5174.835770132823
9123.036918311183,2315.991092550174,2713.540863942935,6339.094896097303,809.126200502257,5294.13037802979
6458.969337997127,2180.709869769494,3904.518842291348,9641.392536264437,3250.438890083122,4834.860510799146
5241.381767983276,1420.6210773761695,3993.2658874559033,9098.046583970865,6285.1689125558205,4418.142732697424
2313.3502124954935,1244.658980356699,4960.00057670031,7121.42237267066,8649.390463484842,2127.0523963578817
1248.2678300955608,1405.8336068614663,6402.281887665059,3160.3334253737426,8869.734167542187,3362.8632962429087
393.34026451449836,1130.8351753127276,8392.592853955588,967.2182018665312,7719.581771433279,3294.058331413624
232.46229478742427,941.0955408562357,9219.832532687771,916.5178236279997,5388.026397892133,3092.962079404539
1799.5869746075325,443.36702970230317,9440.15016253031,2838.0267904558036,2552.612090497271,2252.6190914308377
4105.18390629724,2003.8584298709231,10000.0,6048.902935325852,1270.57294027002,871.9891262550068
6325.855620100959,2528.4851435052747,8582.673189223226,8775.804071012277,1312.3125924452775,0.0
8961.376650940845,3101.338878836119,8363.16816286592,8962.597817822594,3160.7757770848193,834.4363410298741
8788.537136122412,3669.248485677225,7415.821201238301,7781.640840781358,6081.276956249328,553.5196845111249
9478.554679985047,3991.8885876876793,5433.745988844622,4500.319786579879,8517.929276584733,2002.6306805852755
8318.311139274618,4261.483088249165,5388.497909900324,2146.198437220075,8851.947712418445,3979.4253330379142
6335.8306718521,3944.672296471277,3423.2091041484923,819.0477792430326,8283.39773941981,6372.790008288404
4589.121577940278,5035.859805642513,1560.1515551549103,2019.2251630297137,6180.322161122515,7209.3332979428405
1572.0031935699571,5050.845237815073,1846.59842297325,4567.572587149651,3374.1459617437285,7122.926750006201
613.3888245211483,4198.246168609928,925.4542084179758,7838.861785719815,920.5318651611237,6999.900749012749
119.59020687967967,4202.168169511193,1654.9705388030225,9223.255399496991,1360.3472240562141,7776.46953922403
1563.1033208586923,2953.6312389125196,830.9266910660873,8834.282293786839,2012.7252095846607,8639.376318952915
3300.7313145620683,1532.655777880602,2135.5707776975423,5353.9716242418135,4629.423254325463,9406.057519702068
5306.824446040443,736.3176706204887,0.0,2174.521622376827,7185.933313221224,8612.600025468975
6801.380682170295,185.15028281483654,1644.9427172756025,788.4774483367818,10000.0,9156.990003683719
9105.258635707136,172.04958099495565,1008.6075975263403,614.2607526764597,8563.191451660141,8937.64265726516
9581.199776632848,424.7570162996192,1097.2051760485044,4100.934458219503,7005.684212436586,8493.58250340549
8799.61586357691,0.0,1182.7182824200606,7207.627333452058,3850.29264742626,8596.762007935482
7082.136037162399,24.67005408655181,1438.0957309223388,9847.603583900167,1094.1367815672277,9340.753186079211
5910.866139920818,107.81015826490803,280.8087634060288,9373.877054182918,679.644554567213,8817.449382932862
2939.5735896042183,397.89168839523,1072.8850728001887,6249.9004846988955,1864.561827845899,10000.0
1729.221292977141,1423.3257159474908,997.3665167939919,3303.086491734251,5467.287568786532,9702.602247810499
252.1734700776858,2074.3942361236936,343.69721621770066,0.0,7251.857714377832,9511.113003078959
770.4137558092785,1925.1483864004827,219.50377536394637,1423.6684196731494,8669.095946271289,9618.794526437625
1821.7099310380809,2616.7360006671606,1436.4994262660805,2434.8566752380425,9146.18227451491,8990.030864683895
