Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Single Peak Distribution,Periodic fluctuation,Random fluctuation,Periodic fluctuation
Urban Redevelopment Areas,Luxury Residences,Mountain Regions,Rural Areas
33574.46536241472,493583.09053902264,331551.51191522006,484186.58124832506
35297.06758170251,699329.3302868566,201110.00941558476,692432.9760640999
76662.19607968813,833525.9998358159,160113.3273732591,819185.4107515742
131279.1600377448,927886.6004754408,230524.2586647397,923242.954162788
104973.75709054159,929039.62651113,105029.37683652491,914826.7396794927
64325.862964340355,683299.7079549563,33829.36042054708,1000000.0
36713.064674791385,626602.5578464371,180195.91850234164,774057.7615091292
69916.0025564099,311140.47530387307,224635.69100535067,565248.3778880367
105046.22871076141,124530.74930374774,340509.7481754925,363100.7589876432
49373.3950001117,115858.2094020707,60640.2838246252,237464.50459379802
106301.05258677914,105639.90364819381,0.0,99050.35371737009
69237.17885560582,259437.0699991379,113015.70037322272,46388.68800108117
83654.0097717737,423257.4802435438,283257.42196537374,71070.16318739051
130874.01274157109,641347.2173645799,343915.43263549067,145752.24439690905
113727.23953969717,776270.7973194022,543579.822736954,294989.49708688294
224364.3792265253,938653.9561609541,446799.1618713101,467406.55844604125
210729.90738299364,950139.9532579874,574632.7505800143,779002.0790645318
254393.11027794343,856640.578189278,416238.9975157985,877699.9239359621
279149.5802479872,708452.9603079988,440172.0612787454,938676.1075352909
364625.92365510593,509574.97605956247,560214.204936357,960874.1945559501
546540.0395385616,192916.03386652318,619997.1096842301,872527.5390016339
653796.627300764,70623.39338974196,585060.657300388,748575.3597987919
799512.351435919,0.0,634600.5581051811,599869.1548310175
897667.9782721301,224447.82425619988,605281.9961952983,420912.88626190054
898856.788531739,297936.21451147046,671122.6375594914,333376.8130346644
1000000.0,481022.5489245104,706211.5183244192,113756.46080622832
906356.1494957468,878146.2489905423,772769.6439586914,50577.73035010451
833105.7816875294,925307.2039632904,802685.7486575026,38995.45981277805
643623.3608860156,1000000.0,907004.1687570576,130766.41028218594
551168.3820861058,855687.128768598,903124.334423583,294998.59495283035
436117.9149426716,668426.2632514571,1000000.0,433164.9502197929
275230.66178335564,548298.5906660422,875587.8893034583,684624.4840075802
244763.6525710006,311831.16819947783,707216.6201251973,871020.8912562717
79955.87541840784,133568.17243360577,588786.0402816434,939680.1432082464
146764.3276846943,35444.29646634729,484613.079234517,961879.5587858632
180646.24676159746,103509.22327059334,314714.9379871595,896822.9789577284
132167.56924947642,206119.18118600253,473130.7312923691,790638.9180652236
92290.641581534,497056.01987898134,477083.4739555198,570925.1269238145
95992.89917541711,568070.1869280187,463457.034909777,415167.8505944197
27833.447520742004,793854.7401598623,585170.0868585159,271608.0500997325
138299.95703983912,958263.8659851453,549843.93966275,70067.50097545962
98470.25891755383,893931.2969675211,466543.8948932101,4991.213181743743
67973.86513725546,768064.184661732,607632.8787495248,0.0
48224.639094788254,719591.60361962,547972.7972790743,22350.060528650152
70048.11095928907,445281.02078047744,462650.7971556256,278207.91614521394
117882.57180259684,281193.3062031268,437606.927974904,454126.5804538189
72883.94627882681,131517.70418433545,533966.7423893685,670295.0128734953
90389.65193742012,85493.62764841299,539075.8413411084,853973.7398096903
48030.0966273172,162312.6405052908,563728.4691003816,874821.9962023498
0.0,289719.2757352782,586960.6531025212,988607.0195803104
