Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution
Suburbs,Urban Redevelopment Areas,Coastal Properties,Metropolitan Areas,Rural Areas
504415.9032111384,66560.05621786648,35373.38871315461,123379.84554645313,45551.33597346675
683093.541075486,124710.63340172233,158983.84793010828,115517.09519575782,51112.605104053306
814108.9221578906,69803.86328131704,1172.709553434399,128130.55108665097,142395.05089979386
897905.4122895262,108858.44313663962,125597.35072400072,57712.25227325093,8837.93056527342
962730.8545481045,0.0,48835.27126640716,126713.37356536566,94040.42601600017
973770.3897241559,46837.905404307,104336.78899498824,135048.04573001142,90234.54004533919
882332.4115491756,53127.05003314337,51307.64761402063,70658.04584224275,115221.39291093832
819249.4336880653,61139.409470216735,0.0,202014.36535425176,133887.65109415114
677354.629107605,95950.32063646866,76079.44173884531,141715.25149131185,62465.49596260327
486074.0521237432,115767.87904209273,29157.940561224852,191141.64527566466,114915.29713853565
244876.46778321627,81738.7234003486,12744.705767770589,85145.24051668948,92751.13460818146
119987.18739411367,69269.74225778162,27625.168623854985,238604.39134321242,114833.32016723981
0.0,118614.55046141696,136703.5788206657,171800.35186442282,67335.10747284321
72261.92834589077,67970.13739836671,70216.05136263643,215621.56525463975,19440.7473440049
88647.24274030433,76750.15526834485,66338.1835807624,186647.53469612822,110194.21821976357
222962.083933187,148304.33505011318,85012.57573100679,177786.42783857035,141584.18578072914
385796.4694650912,157563.36272314025,202590.35601740642,250302.52661437425,163355.90563709472
580661.8052191312,285405.91961025784,245433.54661063672,224872.9505115809,271001.7347583063
688135.6618208102,295747.10524524405,300159.5132752437,368160.64790691284,306912.5082999653
821320.502743636,378988.9774345192,445319.7457301409,454607.090292177,447321.29147082905
938152.3175689734,584394.059771466,573823.6442187979,576517.3919630238,600728.5256510025
948871.1375622057,659785.6966202357,733042.959913165,763442.0104242156,701194.2324592408
881599.5762655836,918602.4672652585,826544.812713125,1000000.0,792335.0678754206
907819.4819325587,919149.5789672545,840114.4911420173,983700.8512111068,944111.7063921156
754932.455040616,1000000.0,1000000.0,948284.1099963076,1000000.0
604339.3643522644,911335.5956943225,900286.6216107884,975089.0409925259,885321.6388652946
378107.809174762,827310.4900563207,989382.1152637879,912795.4699088415,886324.384507124
199156.77227509662,913537.0013802636,783406.3825066057,861666.4083720266,838612.9004575933
87250.27003832556,677436.2613365232,682134.1649104373,715617.8745461325,708365.0167677683
70488.5244417824,529074.4375340921,488413.30789043015,679865.3023915571,443469.59885843744
55341.64018750133,512659.7704994518,408191.49128383683,483041.3544181433,448936.98273593374
136580.59577794533,307228.2386419428,309864.590374274,338495.3578620809,306797.98429172573
213532.93715113384,170747.45372943906,298502.3237582947,264120.1877755005,297917.3939436808
333358.01961706067,177406.69184829277,210277.673322786,200342.80347069455,154862.16317063273
473179.1563638611,96341.56834477464,159853.72823045411,172702.6247625795,177746.25917843592
688587.8031421313,62491.473893402705,94002.07813554554,121714.50664249844,86572.45870054826
842418.0422296252,217692.4378401715,115097.36616437392,141669.92393319073,161499.7702117576
900508.3156634528,80608.93383898346,90719.73080592939,85243.88267563416,94517.39559287268
977178.0747972856,47766.805290870674,68021.54662441486,120693.43203243028,97895.3472053692
1000000.0,135695.13320206752,167804.76120737402,0.0,62152.094056673304
831894.6214472795,93148.38920726048,110826.08695308436,147574.98159010755,112793.27226233996
778179.9315216809,113337.68542729942,125655.99130857563,141861.53469154876,75164.23766388443
620934.652876434,21314.12782951233,112682.72548108555,50718.68152825616,70325.69398976446
401458.11190721684,122881.37610740044,105129.10271594791,35168.048085371716,150448.81884778696
239472.73143363945,12624.081254797182,91907.79556207483,179382.5087355774,31933.524234693403
197258.5676779311,56847.37814243974,59300.85181428663,173867.92177132124,0.0
113884.43934023302,114107.85073362649,151444.35714848313,90059.77422749132,11625.411082235432
38149.914017096824,6011.399163187618,162592.75007862487,150838.13527472626,93514.50312541469
31464.479109455526,108969.38249970583,118276.36545568227,130399.94123264906,83603.28892888266
204561.02234192324,78157.18499675234,52872.41723826546,49586.40350052944,5263.441741289474
