Sports and Entertainment,Event Attendance,people
Random fluctuation,Periodic fluctuation,Random fluctuation,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution
Food and Wine Events,Music Concerts,Gaming Conventions,Professional Sports,Comedy Shows,Theater Performances
775513.7835450455,396971.40844777727,913679.4511851905,482696.2877802636,403784.53302096314,111075.2527462044
759146.3514076597,796201.8074310656,908625.2173407703,741146.5041632353,710976.6420204765,151381.64864521855
721695.0229888138,934994.1428709951,928189.1257484894,928970.3144376167,951389.3858287691,96615.32401630307
794185.1482466859,815560.4077632438,931098.5395713754,955566.4991657923,892753.3985339785,137728.63141493668
791437.5910735519,688782.6450072085,855769.604637978,865451.5917095236,770873.6766974645,143211.74270927178
852570.7527553292,351257.75958589185,1000000.0,559961.1967484577,490966.7247030864,138533.3285190765
802699.0387933884,211835.9831904847,908077.3334681666,407961.8414314993,215832.87142379853,95433.99935015719
807145.6557483574,78110.33181830573,943982.3052507805,146382.1695130959,39546.15193472168,172008.36134072105
731138.1515282481,122103.32612250968,952019.7190947046,35070.23890735746,53571.74940328602,146117.22085993347
750634.1735174154,330524.77018464013,958518.9159548006,162698.19814699222,226229.896389293,190791.6425925622
725287.4361286026,761138.1087049927,958099.4157911256,219069.56345654343,424685.04556174995,122736.76025220117
733851.2292914285,953648.3434819932,829032.7593057352,481539.2032864938,756873.3763427524,181648.58822009477
796937.431159192,822660.6333190635,806440.9969848685,746810.5699652068,1000000.0,103927.1061915461
908249.6583017848,772935.6193455299,757700.0513185071,978144.3238880363,925159.3651458982,89406.76074855702
979617.9733281533,377799.7694201667,732306.625884394,1000000.0,684645.0799627773,141698.46779877046
987963.523198752,167833.7822435833,727921.9770710393,791901.8363300145,513837.69829436246,219062.3715953941
1000000.0,161203.9843519478,740200.5364162438,596406.9864380088,234798.52995421595,280355.78872123064
879749.1413179169,189552.64954226746,721850.3991209522,360160.87069599057,39976.245598923604,259155.5349693402
965871.3691505323,312724.22255063197,775480.2417628329,177479.12499416518,113417.87149677747,350681.245211518
950118.8818255544,737891.6375518026,721952.105102539,53812.60220751589,250712.14380484013,459680.5008001192
847563.9993083405,918789.6278192856,666189.376987497,110236.45113213405,425408.2643681798,522087.86380486016
740159.8353306837,864346.445017688,568890.5509709596,278371.95164739544,738984.0068427552,726165.76236794
833009.6778477234,769900.1259571476,480998.95105965546,470151.61225087143,944108.287722616,741502.1625177554
755117.8296382371,408075.121753258,485338.7682068396,849533.844938689,895345.0915973864,870639.7267699225
639003.4838448373,201919.97954935677,492558.57402532146,959012.4151108554,770833.2599601327,1000000.0
549622.8723973694,65674.67744270152,494913.845918662,972266.7395677047,486795.4119217108,924623.3881271781
545086.828658739,58682.504215869245,483686.9563425545,793186.3098758808,251000.55473343085,958936.2502143709
511826.1205903999,265307.83546697244,465398.9012784596,622752.5771361985,74097.87814997653,890218.1820826757
540043.2963273504,744931.9870583775,407563.826596615,367034.53196628473,92497.87762381497,674981.2706361479
473851.140352272,884122.9690214703,333909.7078483385,143449.01172747955,235779.55778652566,600355.6212573812
495433.2682701851,944385.1560198528,297912.3324890098,111357.40666213844,430346.9050333662,445954.73745197325
454408.88014923723,759553.2077655938,248104.73755947626,170105.50231972287,732052.2107010902,360707.71331266273
469664.2117353406,560701.2465412844,170112.92798959912,295017.5402809543,949574.2665441862,292547.1030080092
519469.053987219,127235.87241278157,179821.57785748632,570896.7730786923,927541.3876070515,270621.0938020368
380689.45768754825,76380.01583548132,219319.54998348825,816928.2922532742,767640.8717279081,246033.27769329466
353326.20259663486,0.0,239719.1829205595,990822.7784187474,475298.6900601108,189021.4496123729
279055.5296282817,259039.14193711124,224586.7279793635,910891.9794987333,195830.38614572908,148799.9551800908
130231.30098260507,566435.0206209223,148893.62327231944,758614.9633187996,0.0,95541.24163476012
28012.293539859904,872098.5464126082,176012.3198263698,670202.6217809475,43575.07187159774,173019.49474350672
0.0,1000000.0,125823.13403208315,334686.8324929055,263990.67341814813,139309.27550990612
146589.30613963385,877013.7375763454,41001.89161091692,112285.25864912348,598491.2289152796,149524.62012114498
127556.21047312177,587415.2763066381,25033.382773537964,0.0,827688.0163098003,109127.4665993968
104819.569434404,244058.5671436301,0.0,105603.06458064841,946071.9720601944,146901.09006675423
116957.61819692525,43673.69372607276,131505.6251646781,247923.9313696335,984372.235297003,73519.5596181076
64688.781608409,56293.819851045126,100110.79266968713,626687.5250020259,738317.4287517378,131778.4501256038
13433.439391483316,152107.84903587826,114514.23768087848,933092.6443347824,444815.6748708092,153611.42889964444
12208.509703356869,524466.042458114,96421.14632445308,981149.7922456431,145690.13184128914,64503.90233637786
191536.21240684984,806634.5899140751,110189.57522313582,948813.104676983,60568.77763093145,0.0
239036.59070969268,959552.0212972426,37268.18607506572,794862.0884136736,89079.83359385566,107450.65237674004
316397.2191727736,753467.827760032,34712.27557486881,486843.3523087769,226459.4720032954,101191.56335440009
