Science and Engineering,Research and Development Ecosystem,Projects,random,Research Fields,Funding Sources,Research Outcomes,Institution Types,Impact Areas
Source,Target,Value
Artificial Intelligence,Federal Grants,286
Artificial Intelligence,Corporate Sponsorship,83
Artificial Intelligence,University Budget,99
Renewable Energy,Federal Grants,54
Renewable Energy,Corporate Sponsorship,487
Renewable Energy,University Budget,233
Space Exploration,Federal Grants,108
Space Exploration,Corporate Sponsorship,37
Space Exploration,University Budget,256
Federal Grants,Published Papers,92
Federal Grants,Open-source Projects,356
Corporate Sponsorship,Published Papers,517
Corporate Sponsorship,Open-source Projects,90
University Budget,Published Papers,199
University Budget,Open-source Projects,389
Published Papers,Research Universities,363
Published Papers,Corporate Labs,88
Published Papers,Startups,357
Open-source Projects,Research Universities,364
Open-source Projects,Corporate Labs,240
Open-source Projects,Startups,231
Research Universities,Healthcare,126
Research Universities,Defense,59
Research Universities,Environment,93
Research Universities,Education,105
Research Universities,Industrial Automation,344
Corporate Labs,Healthcare,23
Corporate Labs,Defense,117
Corporate Labs,Environment,15
Corporate Labs,Education,88
Corporate Labs,Industrial Automation,85
Startups,Healthcare,131
Startups,Defense,255
Startups,Environment,38
Startups,Education,30
Startups,Industrial Automation,134
