Business and Finance,Investment Decision-Making Routine,$,random,Risk Levels,Investment Types,Returns,Market Segments,Investment Strategies
Source,Target,Value
High Risk,Real Estate,9602
High Risk,Stocks,31611
Low Risk,Real Estate,10727
Low Risk,Stocks,33102
Real Estate,Low Return,15985
Real Estate,Moderate Return,4344
Stocks,Low Return,20699
Stocks,Moderate Return,44014
Low Return,Retail Investors,2235
Low Return,Institutional Investors,4557
Low Return,Pension Funds,14950
Low Return,Hedge Funds,14942
Moderate Return,Retail Investors,3864
Moderate Return,Institutional Investors,20297
Moderate Return,Pension Funds,14302
Moderate Return,Hedge Funds,9895
Retail Investors,Growth Investing,2189
Retail Investors,Day Trading,2162
Retail Investors,Value Investing,229
Retail Investors,Index Fund Investing,1519
Institutional Investors,Growth Investing,3729
Institutional Investors,Day Trading,5293
Institutional Investors,Value Investing,6506
Institutional Investors,Index Fund Investing,9326
Pension Funds,Growth Investing,8196
Pension Funds,Day Trading,5650
Pension Funds,Value Investing,8313
Pension Funds,Index Fund Investing,7093
Hedge Funds,Growth Investing,2199
Hedge Funds,Day Trading,1558
Hedge Funds,Value Investing,11545
Hedge Funds,Index Fund Investing,9535
