Sports and Entertainment,Sports Event Framework,Events,random,Event Types,Audience Segments,Engagement Channels,Revenue Streams,Sports Types
Source,Target,Value
Exhibition,Families,39203
Exhibition,Local Fans,10341
League Match,Families,1522
League Match,Local Fans,9029
Tournament,Families,16271
Tournament,Local Fans,4604
Finals,Families,1739
Finals,Local Fans,4522
Playoffs,Families,22202
Playoffs,Local Fans,26638
Friendly Match,Families,20354
Friendly Match,Local Fans,7957
Families,Fan Meetups,55048
Families,Fantasy Leagues,46243
Local Fans,Fan Meetups,15248
Local Fans,Fantasy Leagues,47843
Fan Meetups,Sponsorships,16402
Fan Meetups,Ticket Sales,33976
Fan Meetups,Broadcast Rights,11034
Fan Meetups,Concessions,8884
Fantasy Leagues,Sponsorships,24428
Fantasy Leagues,Ticket Sales,29063
Fantasy Leagues,Broadcast Rights,20327
Fantasy Leagues,Concessions,20268
Sponsorships,Football,6719
Sponsorships,Tennis,2398
Sponsorships,Cricket,1368
Sponsorships,Hockey,12011
Sponsorships,Baseball,9943
Sponsorships,Basketball,5468
Sponsorships,Golf,2923
Ticket Sales,Football,3850
Ticket Sales,Tennis,11707
Ticket Sales,Cricket,12637
Ticket Sales,Hockey,2366
Ticket Sales,Baseball,9869
Ticket Sales,Basketball,11337
Ticket Sales,Golf,11273
Broadcast Rights,Football,6366
Broadcast Rights,Tennis,7390
Broadcast Rights,Cricket,1182
Broadcast Rights,Hockey,3517
Broadcast Rights,Baseball,7756
Broadcast Rights,Basketball,1325
Broadcast Rights,Golf,3825
Concessions,Football,3266
Concessions,Tennis,9513
Concessions,Cricket,1324
Concessions,Hockey,3161
Concessions,Baseball,3354
Concessions,Basketball,7215
Concessions,Golf,1319
