Transportation and Logistics,Manufacturing Supply Transportation Chain,Goods,random,Factory,Warehouse,Distribution Center
Source,Target,Value
Textile Mill,Central Warehouse,197
Textile Mill,Cold Storage,258
Food Processing Plant,Central Warehouse,970
Food Processing Plant,Cold Storage,210
Auto Factory,Central Warehouse,528
Auto Factory,Cold Storage,378
Chemical Plant,Central Warehouse,639
Chemical Plant,Cold Storage,321
Electronics Plant,Central Warehouse,305
Electronics Plant,Cold Storage,340
Central Warehouse,South Hub,124
Central Warehouse,North Hub,870
Central Warehouse,West Hub,532
Central Warehouse,Express Sorting Center,889
Central Warehouse,East Hub,224
Cold Storage,South Hub,132
Cold Storage,North Hub,312
Cold Storage,West Hub,195
Cold Storage,Express Sorting Center,517
Cold Storage,East Hub,351
