Transportation and Logistics,Manufacturing Supply Transportation Chain,Goods,random,Warehouse,Retail,Assembly
Source,Target,Value
Spare Parts Depot,Neighborhood Store,327
Spare Parts Depot,Convenience Store,521
Bulk Storage,Neighborhood Store,598
Bulk Storage,Convenience Store,1424
Cold Storage,Neighborhood Store,1819
Cold Storage,Convenience Store,223
Neighborhood Store,Labeling,1219
Neighborhood Store,Packaging Line,860
Neighborhood Store,Test Facility,665
Convenience Store,Labeling,233
Convenience Store,Packaging Line,1372
Convenience Store,Test Facility,563
