Cultural Trends and Influences,Cultural Products Influence Flow,Cultural Products,random,Impact Areas,Art Forms,Audience Types
Source,Target,Value
Tourism,Painting,171
Tourism,Literature,483
Tourism,Music,105
Innovation,Painting,15
Innovation,Literature,43
Innovation,Music,24
Economy,Painting,191
Economy,Literature,83
Economy,Music,124
Education,Painting,58
Education,Literature,166
Education,Music,159
Painting,Scholars,42
Painting,Local Communities,393
Literature,Scholars,520
Literature,Local Communities,255
Music,Scholars,206
Music,Local Communities,206
