Agriculture and Food Production,Agricultural Value Chain,Crops,random,Import & Export,Consumption,Distribution,Farming,Processing
Source,Target,Value
Export Certification,Food Preparation,8663
Export Certification,Food Waste,16693
Import Inspection,Food Preparation,36168
Import Inspection,Food Waste,32200
Food Preparation,Wholesale,15723
Food Preparation,Retail Delivery,2963
Food Preparation,Storage,13358
Food Preparation,Transportation,12787
Food Waste,Wholesale,8736
Food Waste,Retail Delivery,3478
Food Waste,Storage,20328
Food Waste,Transportation,16351
Wholesale,Fertilization,1659
Wholesale,Irrigation,961
Wholesale,Soil Preparation,5889
Wholesale,Pest Control,8126
Wholesale,Seeding,7824
Retail Delivery,Fertilization,948
Retail Delivery,Irrigation,1184
Retail Delivery,Soil Preparation,1063
Retail Delivery,Pest Control,1282
Retail Delivery,Seeding,1964
Storage,Fertilization,7131
Storage,Irrigation,8679
Storage,Soil Preparation,1833
Storage,Pest Control,11006
Storage,Seeding,5037
Transportation,Fertilization,12035
Transportation,Irrigation,7284
Transportation,Soil Preparation,1773
Transportation,Pest Control,6155
Transportation,Seeding,1891
Fertilization,Sorting,5119
Fertilization,Cleaning,6091
Fertilization,Grinding,5042
Fertilization,Packaging,5521
Irrigation,Sorting,8236
Irrigation,Cleaning,894
Irrigation,Grinding,2256
Irrigation,Packaging,6722
Soil Preparation,Sorting,6036
Soil Preparation,Cleaning,626
Soil Preparation,Grinding,3270
Soil Preparation,Packaging,626
Pest Control,Sorting,5811
Pest Control,Cleaning,7600
Pest Control,Grinding,7481
Pest Control,Packaging,5677
Seeding,Sorting,1648
Seeding,Cleaning,3962
Seeding,Grinding,8825
Seeding,Packaging,2281
