Energy and Utilities,Carbon Emission Flow,Tons,random,Final Disposition,Sector Distribution,Mitigation Measures,Emission Sources,Transportation Methods
Source,Target,Value
Offset Projects,Manufacturing,11762
Offset Projects,Agriculture,30194
Offset Projects,Residential,24562
Offset Projects,Waste Management,39714
Carbon Storage,Manufacturing,5157
Carbon Storage,Agriculture,42410
Carbon Storage,Residential,20323
Carbon Storage,Waste Management,48425
Atmosphere,Manufacturing,45368
Atmosphere,Agriculture,16436
Atmosphere,Residential,53383
Atmosphere,Waste Management,41490
Manufacturing,Afforestation,12299
Manufacturing,None,2188
Manufacturing,Renewable Energy,13227
Manufacturing,Energy Efficiency,16255
Manufacturing,Carbon Capture,18318
Agriculture,Afforestation,25010
Agriculture,None,27067
Agriculture,Renewable Energy,5108
Agriculture,Energy Efficiency,24951
Agriculture,Carbon Capture,6904
Residential,Afforestation,10300
Residential,None,25016
Residential,Renewable Energy,30627
Residential,Energy Efficiency,27073
Residential,Carbon Capture,5252
Waste Management,Afforestation,6554
Waste Management,None,45221
Waste Management,Renewable Energy,31511
Waste Management,Energy Efficiency,39789
Waste Management,Carbon Capture,6554
Afforestation,Oil Refining,5695
Afforestation,Cement Production,3919
Afforestation,Natural Gas,22467
Afforestation,Deforestation,15639
Afforestation,Livestock,6443
None,Oil Refining,7901
None,Cement Production,43910
None,Natural Gas,28400
None,Deforestation,13933
None,Livestock,5348
Renewable Energy,Oil Refining,25370
Renewable Energy,Cement Production,13014
Renewable Energy,Natural Gas,8117
Renewable Energy,Deforestation,21451
Renewable Energy,Livestock,12521
Energy Efficiency,Oil Refining,9833
Energy Efficiency,Cement Production,43779
Energy Efficiency,Natural Gas,13590
Energy Efficiency,Deforestation,32524
Energy Efficiency,Livestock,8342
Carbon Capture,Oil Refining,2902
Carbon Capture,Cement Production,5320
Carbon Capture,Natural Gas,3643
Carbon Capture,Deforestation,13771
Carbon Capture,Livestock,11392
Oil Refining,Road Freight,12559
Oil Refining,Air Cargo,39142
Cement Production,Road Freight,54027
Cement Production,Air Cargo,55915
Natural Gas,Road Freight,32107
Natural Gas,Air Cargo,44110
Deforestation,Road Freight,15053
Deforestation,Air Cargo,82265
Livestock,Road Freight,12334
Livestock,Air Cargo,31712
