Healthcare and Health,Healthcare Service Ecosystem,Patients,random,Healthcare Providers,Outcomes,Medical Specialties,Treatment Types
Source,Target,Value
Hospitals,Full Recovery,1358
Hospitals,Improved Condition,10804
Hospitals,Deceased,1266
Hospitals,Worsened Condition,5391
Rehabilitation Centers,Full Recovery,1046
Rehabilitation Centers,Improved Condition,6187
Rehabilitation Centers,Deceased,7795
Rehabilitation Centers,Worsened Condition,2827
Nursing Homes,Full Recovery,1099
Nursing Homes,Improved Condition,1202
Nursing Homes,Deceased,1023
Nursing Homes,Worsened Condition,397
Full Recovery,Oncology,1356
Full Recovery,Cardiology,1834
Full Recovery,Orthopedics,313
Improved Condition,Oncology,2405
Improved Condition,Cardiology,11999
Improved Condition,Orthopedics,3789
Deceased,Oncology,1442
Deceased,Cardiology,2039
Deceased,Orthopedics,6603
Worsened Condition,Oncology,3931
Worsened Condition,Cardiology,2377
Worsened Condition,Orthopedics,2307
Oncology,Emergency Care,3105
Oncology,Therapy,6029
Cardiology,Emergency Care,12456
Cardiology,Therapy,5793
Orthopedics,Emergency Care,2898
Orthopedics,Therapy,10114
