Retail and E-commerce,Omni-channel Retail Purchase Ecosystem,Purchases,random,Product Categories,Regions,Channels,Customer Segments,Marketing Campaigns
Source,Target,Value
Home Appliances,North America,4086
Home Appliances,Europe,14787
Home Appliances,Middle East,6708
Home Appliances,Africa,1544
Groceries,North America,2838
Groceries,Europe,2052
Groceries,Middle East,991
Groceries,Africa,2940
Toys,North America,16344
Toys,Europe,17914
Toys,Middle East,15808
Toys,Africa,5984
Books,North America,14143
Books,Europe,14688
Books,Middle East,3941
Books,Africa,8807
Beauty Products,North America,723
Beauty Products,Europe,3593
Beauty Products,Middle East,6399
Beauty Products,Africa,3936
Clothing,North America,1592
Clothing,Europe,9699
Clothing,Middle East,12226
Clothing,Africa,8984
North America,Third-Party Marketplace,15979
North America,Mobile App,3235
North America,Physical Store,2017
North America,Online Store,18495
Europe,Third-Party Marketplace,16357
Europe,Mobile App,18036
Europe,Physical Store,16686
Europe,Online Store,11654
Middle East,Third-Party Marketplace,3070
Middle East,Mobile App,14875
Middle East,Physical Store,10031
Middle East,Online Store,18097
Africa,Third-Party Marketplace,11038
Africa,Mobile App,1364
Africa,Physical Store,8492
Africa,Online Store,11301
Third-Party Marketplace,Parents,14762
Third-Party Marketplace,Seniors,31682
Mobile App,Parents,31157
Mobile App,Seniors,6353
Physical Store,Parents,32855
Physical Store,Seniors,4371
Online Store,Parents,19951
Online Store,Seniors,39596
Parents,Influencer Campaign,22516
Parents,Social Media Ad,22539
Parents,Referral Program,13579
Parents,Holiday Promo,17832
Parents,Email Newsletter,9800
Parents,Flash Sale,12459
Seniors,Influencer Campaign,5077
Seniors,Social Media Ad,21239
Seniors,Referral Program,5994
Seniors,Holiday Promo,14306
Seniors,Email Newsletter,7989
Seniors,Flash Sale,27397
