Retail and E-commerce,Omni-channel Retail Purchase Ecosystem,Purchases,random,Regions,Product Categories
Source,Target,Value
North America,Toys,3897
North America,Groceries,3286
North America,Electronics,1309
North America,Home Appliances,2507
North America,Books,1395
North America,Clothing,2426
South America,Toys,4223
South America,Groceries,3597
South America,Electronics,1442
South America,Home Appliances,3442
South America,Books,1323
South America,Clothing,1186
Oceania,Toys,1192
Oceania,Groceries,983
Oceania,Electronics,2700
Oceania,Home Appliances,3641
Oceania,Books,4131
Oceania,Clothing,4138
Asia,Toys,1585
Asia,Groceries,2669
Asia,Electronics,1506
Asia,Home Appliances,3947
Asia,Books,2815
Asia,Clothing,4006
Europe,Toys,1237
Europe,Groceries,1696
Europe,Electronics,368
Europe,Home Appliances,786
Europe,Books,668
Europe,Clothing,368
Middle East,Toys,4744
Middle East,Groceries,6059
Middle East,Electronics,5570
Middle East,Home Appliances,2676
Middle East,Books,4576
Middle East,Clothing,5961
