Transportation and Logistics,the Comparison of Transportation and Logistics,linear,none
Distance traveled (miles),Transport efficiency (%)
1.0,95.0
13.65,76.73
26.29,77.3
38.94,76.54
51.58,71.23
64.23,59.94
76.87,73.38
89.52,72.15
102.16,82.92
114.81,87.6
127.46,81.28
140.1,76.22
152.75,67.91
165.39,93.47
178.04,72.61
190.68,71.71
203.33,66.89
215.97,69.94
228.62,85.2
241.27,86.54
253.91,77.11
266.56,80.21
279.2,63.82
291.85,69.36
304.49,58.84
317.14,83.35
329.78,82.76
342.43,74.42
355.08,82.57
367.72,62.07
380.37,63.31
393.01,82.92
405.66,75.9
418.3,70.26
430.95,69.16
443.59,79.62
456.24,79.79
468.89,67.93
481.53,71.8
494.18,83.34
506.82,72.89
519.47,79.73
532.11,77.03
544.76,62.04
557.41,83.76
570.05,65.71
582.7,87.09
595.34,82.14
607.99,73.26
620.63,85.82
633.28,67.08
645.92,66.06
658.57,50.0
671.22,58.78
683.86,65.38
696.51,78.95
709.15,76.68
721.8,78.83
734.44,70.62
747.09,74.48
759.73,68.41
772.38,76.3
785.03,83.08
797.67,76.77
810.32,78.39
822.96,67.86
835.61,71.18
848.25,65.47
860.9,84.17
873.54,79.57
886.19,71.63
898.84,75.03
911.48,61.46
924.13,67.33
936.77,52.67
949.42,71.18
962.06,72.43
974.71,84.54
987.35,79.83
1000.0,84.05
