Energy and Utilities,the Distribution of Energy and Utilities,linear,negative
Infrastructure age (years),Reliability index (score)
0.0,43.13
0.58,59.49
1.16,50.35
1.74,88.1
2.33,89.11
2.91,62.03
3.49,72.88
4.07,87.53
4.65,68.96
5.23,62.01
5.81,63.74
6.4,46.98
6.98,29.49
7.56,100.0
8.14,56.51
8.72,8.32
9.3,47.6
9.88,56.68
10.47,59.15
11.05,35.55
11.63,41.77
12.21,93.54
12.79,72.13
13.37,64.43
13.95,70.42
14.53,56.66
15.12,70.23
15.7,32.8
16.28,74.78
16.86,47.93
17.44,44.67
18.02,45.46
18.6,46.39
19.19,58.47
19.77,86.12
20.35,50.07
20.93,68.29
21.51,67.26
22.09,48.62
22.67,24.2
23.26,13.97
23.84,38.28
24.42,91.98
25.0,71.38
25.58,43.22
26.16,52.67
26.74,4.48
27.33,20.1
27.91,76.28
28.49,46.14
29.07,42.98
29.65,71.29
30.23,79.76
30.81,6.64
31.4,63.7
31.98,77.38
32.56,72.18
33.14,55.27
33.72,77.13
34.3,91.75
34.88,66.48
35.47,45.99
36.05,58.82
36.63,7.0
37.21,88.93
37.79,74.44
38.37,88.24
38.95,79.4
39.53,55.09
40.12,96.07
40.7,64.1
41.28,55.78
41.86,3.69
42.44,0.0
43.02,39.66
43.6,79.09
44.19,40.52
44.77,83.96
45.35,86.61
45.93,14.16
46.51,28.43
47.09,73.52
47.67,10.77
48.26,54.31
48.84,51.81
49.42,50.87
50.0,66.63
