Energy and Utilities,the Interaction of Energy and Utilities,u_shape,negative
Electricity price ($/kWh),Customer outage duration (hours/year)
0.1,0.0
0.11,3.36
0.12,7.06
0.13,8.04
0.14,8.17
0.15,9.9
0.16,13.05
0.17,13.37
0.18,14.15
0.19,15.97
0.2,17.49
0.21,18.85
0.22,20.11
0.23,21.0
0.24,20.78
0.25,22.16
0.26,21.58
0.27,23.56
0.28,22.96
0.29,22.84
0.3,20.72
0.31,21.63
0.32,24.0
0.33,22.34
0.34,20.66
0.35,20.57
0.36,20.0
0.37,19.48
0.38,18.54
0.39,17.9
0.4,18.06
0.41,18.34
0.42,15.12
0.43,14.68
0.44,12.18
0.45,11.73
0.46,9.37
0.47,6.53
0.48,5.32
0.49,3.01
0.5,1.5
