Energy and Utilities,the Comparison of Energy and Utilities,exponential,negative
Electricity price ($/kWh),Energy efficiency (%)
0.1,100.0
0.11,89.56
0.11,74.88
0.12,66.03
0.13,74.21
0.14,88.78
0.14,43.82
0.15,60.04
0.16,49.42
0.17,62.25
0.17,35.78
0.18,55.45
0.19,38.71
0.2,35.93
0.2,20.39
0.21,35.93
0.22,29.14
0.23,42.77
0.23,31.14
0.24,32.74
0.25,33.64
0.26,35.59
0.26,18.86
0.27,16.56
0.28,32.76
0.29,32.66
0.29,20.68
0.3,27.98
0.31,7.98
0.31,4.69
0.32,20.28
0.33,16.67
0.34,11.85
0.34,28.75
0.35,16.61
0.36,22.15
0.37,8.03
0.37,6.7
0.38,19.75
0.39,14.39
0.4,15.99
0.4,9.06
0.41,0.0
0.42,32.46
0.43,14.23
0.43,5.97
0.44,23.18
0.45,0.85
0.46,13.17
0.46,3.24
0.47,0.33
0.48,20.66
0.49,28.48
0.49,22.52
0.5,12.73
