Environmental Science and Ecology,the Distribution of Environmental Science and Ecology,exponential,positive
Rainfall amount (mm/year),Crop yield (tons/hectare)
100.0,1.79
130.16,1.81
160.32,1.34
190.48,1.47
220.63,1.0
250.79,1.06
280.95,1.76
311.11,1.76
341.27,1.82
371.43,1.79
401.59,2.23
431.75,1.98
461.9,2.09
492.06,2.55
522.22,1.93
552.38,1.7
582.54,1.9
612.7,1.92
642.86,2.16
673.02,2.37
703.17,2.21
733.33,2.55
763.49,2.68
793.65,2.38
823.81,2.47
853.97,2.39
884.13,3.13
914.29,2.58
944.44,3.07
974.6,3.21
1004.76,3.19
1034.92,2.85
1065.08,3.37
1095.24,3.42
1125.4,3.35
1155.56,3.59
1185.71,3.99
1215.87,3.99
1246.03,4.27
1276.19,4.36
1306.35,4.99
1336.51,4.92
1366.67,4.74
1396.83,4.86
1426.98,5.26
1457.14,5.49
1487.3,5.41
1517.46,5.66
1547.62,5.58
1577.78,6.19
1607.94,6.33
1638.1,6.47
1668.25,6.56
1698.41,7.06
1728.57,7.54
1758.73,7.92
1788.89,7.92
1819.05,7.8
1849.21,8.15
1879.37,8.63
1909.52,9.45
1939.68,9.09
1969.84,9.79
2000.0,10.0
