Environmental Science and Ecology,the Overview of Environmental Science and Ecology,linear,none
Pollution level (index),Species diversity (count)
10.0,575.58
11.67,1.0
13.33,379.49
15.0,338.33
16.67,641.75
18.33,352.85
20.0,599.11
21.67,67.74
23.33,827.59
25.0,208.39
26.67,299.55
28.33,667.1
30.0,245.37
31.67,12.42
33.33,454.21
35.0,18.56
36.67,393.48
38.33,955.88
40.0,1000.0
41.67,720.73
43.33,586.08
45.0,552.2
46.67,474.47
48.33,831.99
50.0,128.3
51.67,472.76
53.33,438.99
55.0,596.16
56.67,205.79
58.33,599.56
60.0,960.12
61.67,642.03
63.33,266.7
65.0,102.16
66.67,290.37
68.33,449.06
70.0,625.07
71.67,107.15
73.33,648.75
75.0,480.92
76.67,147.2
78.33,549.5
80.0,474.95
81.67,894.0
83.33,623.62
85.0,387.0
86.67,514.05
88.33,378.78
90.0,660.89
91.67,929.05
93.33,490.85
95.0,531.15
96.67,574.97
98.33,384.32
100.0,536.85
