Finance and Economics,the Trend of Finance and Economics,linear,none
Stock price ($),Exchange rate (currency/USD)
1.0,0.59
84.32,2.0
167.63,1.42
250.95,0.9
334.27,1.09
417.58,1.27
500.9,1.73
584.22,1.23
667.53,1.48
750.85,1.26
834.17,1.42
917.48,0.83
1000.8,1.22
1084.12,1.16
1167.43,1.45
1250.75,1.55
1334.07,1.35
1417.38,1.74
1500.7,1.15
1584.02,1.12
1667.33,1.47
1750.65,0.5
1833.97,1.39
1917.28,1.8
2000.6,0.88
2083.92,1.32
2167.23,1.65
2250.55,1.2
2333.87,1.64
2417.18,0.85
2500.5,1.09
2583.82,1.53
2667.13,1.29
2750.45,1.12
2833.77,0.8
2917.08,1.32
3000.4,1.12
3083.72,1.15
3167.03,1.37
3250.35,1.52
3333.67,1.11
3416.98,1.06
3500.3,0.85
3583.62,1.19
3666.93,1.01
3750.25,1.14
3833.57,1.19
3916.88,1.33
4000.2,1.14
4083.52,1.48
4166.83,1.29
4250.15,1.03
4333.47,1.34
4416.78,1.37
4500.1,1.38
4583.42,1.52
4666.73,1.64
4750.05,1.3
4833.37,1.33
4916.68,1.34
5000.0,0.89
