Agriculture and Food Production,the Influence of Agriculture and Food Production,linear,none
Irrigation amount (mm/season),Food production cost ($/ton)
100.0,1307.52
124.68,1013.09
149.35,1578.0
174.03,1053.76
198.7,384.81
223.38,1051.34
248.05,976.34
272.73,1246.5
297.4,843.77
322.08,1230.57
346.75,292.0
371.43,745.65
396.1,1138.78
420.78,1106.96
445.45,930.65
470.13,839.56
494.81,614.22
519.48,864.72
544.16,1338.42
568.83,1488.05
593.51,1523.22
618.18,1291.99
642.86,935.36
667.53,2000.0
692.21,1037.17
716.88,891.79
741.56,954.23
766.23,777.78
790.91,438.54
815.58,1333.13
840.26,1090.06
864.94,1292.84
889.61,1104.61
914.29,1420.27
938.96,293.97
963.64,1351.1
988.31,865.25
1012.99,1231.2
1037.66,925.55
1062.34,712.43
1087.01,785.15
1111.69,767.36
1136.36,224.87
1161.04,1049.27
1185.71,458.68
1210.39,562.59
1235.06,1451.06
1259.74,287.95
1284.42,699.29
1309.09,769.37
1333.77,689.13
1358.44,399.38
1383.12,125.87
1407.79,670.22
1432.47,406.44
1457.14,955.68
1481.82,686.36
1506.49,730.18
1531.17,794.06
1555.84,915.03
1580.52,1032.2
1605.19,1200.13
1629.87,533.08
1654.55,924.93
1679.22,794.26
1703.9,1200.12
1728.57,1243.75
1753.25,1239.94
1777.92,970.52
1802.6,100.0
1827.27,1372.11
1851.95,861.06
1876.62,1539.47
1901.3,1447.73
1925.97,1186.32
1950.65,1277.19
1975.32,282.09
2000.0,1204.1
