Human Resources and Workplace,the Analysis of Human Resources and Workplace,exponential,negative
Salary ($/year),Employee retention (%)
30000.0,95.0
31976.74,88.79
33953.49,89.34
35930.23,88.31
37906.98,85.75
39883.72,84.42
41860.47,82.11
43837.21,76.43
45813.95,76.93
47790.7,79.37
49767.44,71.15
51744.19,76.01
53720.93,74.4
55697.67,71.16
57674.42,73.52
59651.16,70.77
61627.91,65.9
63604.65,67.54
65581.4,67.8
67558.14,62.63
69534.88,62.49
71511.63,58.79
73488.37,61.97
75465.12,65.74
77441.86,64.14
79418.6,64.78
81395.35,59.13
83372.09,67.78
85348.84,55.85
87325.58,64.97
89302.33,61.28
91279.07,67.07
93255.81,60.29
95232.56,58.11
97209.3,60.38
99186.05,55.09
101162.79,60.83
103139.53,60.43
105116.28,57.32
107093.02,54.65
109069.77,61.7
111046.51,58.1
113023.26,59.81
115000.0,59.73
116976.74,57.56
118953.49,58.24
120930.23,59.48
122906.98,56.78
124883.72,57.21
126860.47,64.03
128837.21,57.17
130813.95,60.25
132790.7,57.67
134767.44,59.95
136744.19,58.15
138720.93,58.84
140697.67,56.23
142674.42,57.64
144651.16,56.8
146627.91,50.59
148604.65,50.0
150581.4,59.89
152558.14,58.47
154534.88,58.28
156511.63,57.09
158488.37,57.62
160465.12,60.84
162441.86,60.55
164418.6,64.55
166395.35,59.83
168372.09,60.35
170348.84,60.79
172325.58,54.12
174302.33,58.15
176279.07,64.01
178255.81,62.1
180232.56,58.32
182209.3,60.53
184186.05,58.31
186162.79,56.33
188139.53,61.19
190116.28,62.12
192093.02,56.81
194069.77,56.6
196046.51,65.51
198023.26,63.27
200000.0,63.57
