Human Resources and Workplace,the Correlation of Human Resources and Workplace,u_shape,negative
Years of experience (years),Job satisfaction (rating)
0.0,1.0
0.67,1.15
1.33,1.68
2.0,2.25
2.67,2.35
3.33,2.94
4.0,2.84
4.67,3.15
5.33,3.25
6.0,3.54
6.67,3.75
7.33,3.54
8.0,3.93
8.67,4.21
9.33,4.55
10.0,4.24
10.67,4.07
11.33,4.35
12.0,4.43
12.67,4.58
13.33,5.0
14.0,4.65
14.67,4.75
15.33,4.62
16.0,4.82
16.67,4.72
17.33,4.8
18.0,4.39
18.67,4.85
19.33,4.71
20.0,4.57
20.67,4.36
21.33,3.76
22.0,3.97
22.67,3.18
23.33,3.82
24.0,3.6
24.67,3.37
25.33,3.02
26.0,2.89
26.67,2.71
27.33,2.12
28.0,1.97
28.67,1.87
29.33,1.4
30.0,1.21
