Agriculture and Food Production,the Correlation of Agriculture and Food Production,exponential,negative
Pest control spending ($/hectare),Livestock health (rating)
10.0,5.0
20.65,4.25
31.3,4.95
41.96,3.5
52.61,3.59
63.26,3.99
73.91,3.05
84.57,4.01
95.22,2.98
105.87,3.45
116.52,2.49
127.17,2.39
137.83,2.74
148.48,1.83
159.13,2.73
169.78,2.49
180.43,1.99
191.09,2.89
201.74,2.84
212.39,2.03
223.04,1.91
233.7,2.13
244.35,2.28
255.0,1.9
265.65,1.41
276.3,2.05
286.96,1.77
297.61,2.13
308.26,1.79
318.91,1.49
329.57,2.52
340.22,1.86
350.87,1.87
361.52,1.47
372.17,2.29
382.83,1.63
393.48,1.5
404.13,2.42
414.78,1.32
425.43,1.96
436.09,1.99
446.74,1.47
457.39,1.0
468.04,1.51
478.7,1.85
489.35,2.26
500.0,1.76
