Human Resources and Workplace,the Dynamics of Human Resources and Workplace,exponential,positive
Commute time (minutes),Promotion rate (%)
5.0,0.0
6.93,2.29
8.86,1.47
10.8,1.16
12.73,1.98
14.66,2.64
16.59,1.24
18.52,0.37
20.45,3.85
22.39,2.9
24.32,2.67
26.25,2.52
28.18,3.54
30.11,4.46
32.05,4.4
33.98,3.94
35.91,4.99
37.84,4.43
39.77,6.47
41.7,4.85
43.64,6.32
45.57,6.05
47.5,7.13
49.43,6.99
51.36,6.46
53.3,7.7
55.23,7.13
57.16,7.97
59.09,8.23
61.02,9.23
62.95,9.47
64.89,9.34
66.82,10.13
68.75,10.35
70.68,12.16
72.61,12.52
74.55,12.54
76.48,13.66
78.41,15.1
80.34,15.19
82.27,16.5
84.2,17.42
86.14,18.43
88.07,20.0
90.0,19.19
