Agriculture and Food Production,the Comparison of Agriculture and Food Production,u_shape,positive
Farm size (hectares),Soil quality (index)
1.0,82.27
13.18,93.0
25.37,85.52
37.55,100.0
49.73,79.35
61.91,74.06
74.1,83.78
86.28,73.69
98.46,69.98
110.65,63.04
122.83,57.18
135.01,66.45
147.2,44.19
159.38,48.01
171.56,50.51
183.74,51.65
195.93,41.48
208.11,40.61
220.29,33.87
232.48,40.33
244.66,33.24
256.84,40.34
269.02,29.15
281.21,28.82
293.39,31.25
305.57,17.5
317.76,27.08
329.94,25.3
342.12,28.15
354.3,21.37
366.49,22.62
378.67,27.75
390.85,24.27
403.04,6.37
415.22,17.01
427.4,8.59
439.59,0.93
451.77,7.12
463.95,12.57
476.13,6.51
488.32,7.57
500.5,11.6
512.68,14.47
524.87,0.5
537.05,14.31
549.23,12.52
561.41,6.68
573.6,9.95
585.78,11.17
597.96,0.0
610.15,4.15
622.33,20.29
634.51,27.61
646.7,16.03
658.88,12.8
671.06,16.07
683.24,18.59
695.43,25.81
707.61,8.52
719.79,37.77
731.98,25.75
744.16,23.75
756.34,33.13
768.52,33.41
780.71,26.21
792.89,42.48
805.07,36.56
817.26,38.74
829.44,66.34
841.62,51.14
853.8,51.82
865.99,50.17
878.17,57.97
890.35,58.59
902.54,59.36
914.72,68.8
926.9,69.28
939.09,76.11
951.27,88.34
963.45,86.0
975.63,86.77
987.82,95.65
1000.0,83.35
