Marketing and Sales,the Correlation of Marketing and Sales,u_shape,positive
Customer acquisition cost ($),Click-through rate (%)
10.0,10.0
16.2,9.6
22.41,8.69
28.61,8.91
34.81,7.82
41.01,7.83
47.22,7.78
53.42,6.65
59.62,6.6
65.82,5.82
72.03,5.65
78.23,5.11
84.43,5.14
90.63,4.98
96.84,4.36
103.04,4.43
109.24,3.85
115.44,2.67
121.65,3.09
127.85,3.08
134.05,2.88
140.25,2.25
146.46,2.04
152.66,2.2
158.86,1.48
165.06,1.56
171.27,1.24
177.47,1.4
183.67,1.62
189.87,1.59
196.08,1.46
202.28,1.17
208.48,0.71
214.68,1.33
220.89,0.44
227.09,0.67
233.29,0.62
239.49,0.75
245.7,0.11
251.9,0.1
258.1,0.37
264.3,0.59
270.51,0.35
276.71,0.5
282.91,0.61
289.11,0.87
295.32,0.76
301.52,1.2
307.72,1.22
313.92,0.71
320.13,0.97
326.33,1.27
332.53,1.95
338.73,1.16
344.94,2.04
351.14,2.16
357.34,2.09
363.54,1.82
369.75,2.16
375.95,2.63
382.15,3.17
388.35,2.61
394.56,3.34
400.76,4.09
406.96,3.64
413.16,3.6
419.37,4.28
425.57,5.18
431.77,6.01
437.97,5.27
444.18,6.23
450.38,7.01
456.58,6.67
462.78,7.62
468.99,7.94
475.19,7.5
481.39,8.52
487.59,8.84
493.8,9.0
500.0,9.8
