Real Estate and Construction,the Interaction of Real Estate and Construction,exponential,none
Interest rate (%),Vacancy rate (%)
0.1,0.0
0.26,10.85
0.42,15.98
0.59,13.39
0.75,7.44
0.91,10.22
1.07,15.1
1.24,12.87
1.4,9.37
1.56,18.35
1.72,7.04
1.89,13.14
2.05,12.95
2.21,12.38
2.37,8.99
2.53,14.38
2.7,9.68
2.86,10.61
3.02,11.23
3.18,10.37
3.35,17.52
3.51,13.49
3.67,17.21
3.83,10.07
4.0,18.55
4.16,11.41
4.32,7.23
4.48,6.22
4.64,11.92
4.81,16.44
4.97,11.36
5.13,15.69
5.29,12.92
5.46,11.48
5.62,17.0
5.78,13.37
5.94,11.54
6.1,13.13
6.27,16.63
6.43,8.58
6.59,11.14
6.75,6.86
6.92,9.34
7.08,16.95
7.24,9.22
7.4,4.49
7.57,10.6
7.73,10.25
7.89,10.68
8.05,9.43
8.21,19.3
8.38,13.92
8.54,7.4
8.7,20.0
8.86,9.22
9.03,4.65
9.19,16.0
9.35,13.42
9.51,14.63
9.68,9.49
9.84,10.57
10.0,4.98
