Agriculture and Food Production,the Influence of Agriculture and Food Production,u_shape,negative
Irrigation amount (mm/season),Livestock health (rating)
100.0,1.0
141.3,1.66
182.61,1.74
223.91,2.13
265.22,2.18
306.52,2.6
347.83,2.91
389.13,2.86
430.43,2.96
471.74,3.68
513.04,3.59
554.35,3.45
595.65,3.87
636.96,4.09
678.26,4.04
719.57,4.39
760.87,4.71
802.17,4.61
843.48,4.47
884.78,4.55
926.09,4.85
967.39,5.0
1008.7,4.82
1050.0,4.52
1091.3,4.78
1132.61,4.78
1173.91,4.76
1215.22,4.73
1256.52,4.89
1297.83,4.3
1339.13,4.73
1380.43,4.41
1421.74,4.19
1463.04,4.01
1504.35,3.99
1545.65,3.84
1586.96,3.73
1628.26,3.62
1669.57,3.24
1710.87,2.85
1752.17,2.68
1793.48,2.88
1834.78,2.33
1876.09,2.09
1917.39,1.77
1958.7,1.56
2000.0,1.5
