Retail and Consumer Behavior,the Correlation of Retail and Consumer Behavior,exponential,positive
Product price ($),Customer satisfaction (rating)
1.0,1.02
32.22,1.19
63.44,1.26
94.66,1.36
125.88,1.0
157.09,1.49
188.31,1.28
219.53,1.15
250.75,1.43
281.97,1.51
313.19,1.7
344.41,1.66
375.62,1.71
406.84,2.12
438.06,1.82
469.28,1.91
500.5,2.22
531.72,2.36
562.94,2.45
594.16,2.33
625.38,2.1
656.59,2.85
687.81,3.0
719.03,3.28
750.25,3.41
781.47,3.36
812.69,3.86
843.91,3.73
875.12,4.43
906.34,4.68
937.56,4.91
968.78,4.94
1000.0,5.0
