Retail and Consumer Behavior,the Overview of Retail and Consumer Behavior,exponential,positive
Product price ($),Sales volume (units/month)
1.0,100.0
14.14,35768.5
27.29,40722.0
40.43,9985.25
53.58,80113.75
66.72,36747.01
79.87,57066.92
93.01,67920.63
106.16,17630.88
119.3,6123.68
132.45,122113.69
145.59,44492.21
158.74,53584.27
171.88,71008.79
185.03,109315.28
198.17,137415.6
211.32,157281.88
224.46,86522.35
237.61,99674.08
250.75,138191.39
263.89,156988.73
277.04,102786.23
290.18,123257.56
303.33,187635.9
316.47,189246.18
329.62,205514.06
342.76,136501.04
355.91,193808.76
369.05,231308.01
382.2,246042.63
395.34,183516.42
408.49,192994.31
421.63,202811.18
434.78,193486.19
447.92,164572.31
461.07,272875.13
474.21,254607.39
487.36,249872.39
500.5,299889.66
513.64,296146.97
526.79,256692.44
539.93,307689.82
553.08,408615.89
566.22,382077.69
579.37,360044.58
592.51,268572.66
605.66,336815.63
618.8,310737.02
631.95,364245.66
645.09,426793.68
658.24,474883.08
671.38,404557.19
684.53,463969.94
697.67,532062.55
710.82,476537.47
723.96,482193.57
737.11,524675.8
750.25,521193.88
763.39,597006.84
776.54,598728.5
789.68,599895.96
802.83,599793.59
815.97,657101.14
829.12,700037.93
842.26,680045.85
855.41,691280.43
868.55,715423.56
881.7,753848.59
894.84,803045.49
907.99,827034.47
921.13,832662.78
934.28,856386.57
947.42,890264.67
960.57,868660.28
973.71,910421.88
986.86,1000000.0
1000.0,985914.05
