Social Media and Digital Media and Streaming,the Trend of Social Media and Digital Media and Streaming,exponential,positive
Content length (minutes),View count (count)
1.0,4221450.78
2.64,3174716.39
4.28,5063193.82
5.92,1849202.41
7.56,1404060.69
9.19,5712322.65
10.83,5911856.17
12.47,100.0
14.11,3166195.04
15.75,4734106.47
17.39,4945765.24
19.03,3684773.31
20.67,3689058.95
22.31,5342609.31
23.94,5133038.02
25.58,6572784.27
27.22,5328274.91
28.86,4448174.51
30.5,4222391.51
32.14,8979033.25
33.78,7356759.74
35.42,6197852.14
37.06,3390847.25
38.69,5687319.39
40.33,5214059.44
41.97,4354477.25
43.61,8319247.01
45.25,5908978.59
46.89,5883472.28
48.53,8272311.92
50.17,7491905.84
51.81,6590188.8
53.44,8908647.89
55.08,5398294.13
56.72,8957703.47
58.36,9832040.42
60.0,10000000.0
