Social Media and Digital Media and Streaming,the Analysis of Social Media and Digital Media and Streaming,exponential,none
Posting frequency (posts/day),Conversion rate (%)
1.0,3.85
1.25,0.95
1.49,2.9
1.74,2.4
1.99,6.04
2.23,4.04
2.48,0.33
2.73,5.22
2.97,2.56
3.22,1.42
3.47,6.85
3.71,0.69
3.96,1.09
4.21,6.97
4.45,3.34
4.7,5.27
4.95,1.44
5.19,2.77
5.44,3.2
5.69,3.2
5.94,3.56
6.18,5.13
6.43,6.83
6.68,3.39
6.92,4.35
7.17,4.04
7.42,6.01
7.66,1.91
7.91,7.08
8.16,1.93
8.4,1.67
8.65,9.02
8.9,4.48
9.14,2.07
9.39,3.67
9.64,0.7
9.88,7.39
10.13,2.69
10.38,4.82
10.62,5.1
10.87,2.88
11.12,3.35
11.36,6.85
11.61,3.59
11.86,2.85
12.1,5.29
12.35,3.98
12.6,4.4
12.84,5.1
13.09,7.88
13.34,2.68
13.58,5.23
13.83,2.68
14.08,4.43
14.32,10.0
14.57,3.34
14.82,4.74
15.06,7.4
15.31,2.62
15.56,1.97
15.81,1.26
16.05,5.77
16.3,2.57
16.55,3.46
16.79,5.6
17.04,0.67
17.29,0.0
17.53,1.81
17.78,3.75
18.03,7.0
18.27,3.12
18.52,2.72
18.77,5.79
19.01,3.16
19.26,4.97
19.51,5.33
19.75,3.39
20.0,4.53
