Social Media and Digital Media and Streaming,the Comparison of Social Media and Digital Media and Streaming,linear,none
Hashtag use count (count/post),New followers (count/day)
1.0,39415.26
1.31,48371.49
1.62,56662.73
1.93,24073.05
2.25,49495.65
2.56,60024.75
2.87,39184.83
3.18,77392.88
3.49,58579.98
3.8,64625.2
4.11,43651.81
4.43,14395.73
4.74,61662.14
5.05,12750.37
5.36,97409.27
5.67,63187.79
5.98,45064.38
6.3,27744.33
6.61,36429.6
6.92,83482.85
7.23,21089.43
7.54,20591.77
7.85,19800.37
8.16,37160.47
8.48,42705.19
8.79,59792.51
9.1,44602.31
9.41,15070.93
9.72,31291.12
10.03,40663.61
10.34,83246.29
10.66,3242.08
10.97,60736.88
11.28,53125.86
11.59,22116.39
11.9,55848.78
12.21,32361.64
12.52,10.0
12.84,28021.45
13.15,58730.91
13.46,35342.76
13.77,1845.23
14.08,19584.89
14.39,40264.99
14.7,49980.12
15.02,52854.48
15.33,53451.37
15.64,22951.97
15.95,57397.31
16.26,68431.56
16.57,93762.46
16.89,59616.45
17.2,100000.0
17.51,82430.98
17.82,3221.06
18.13,24243.56
18.44,85065.16
18.75,7545.47
19.07,44058.81
19.38,81292.78
19.69,26564.05
20.0,59418.24
