Social Media and Digital Media and Streaming,the Influence of Social Media and Digital Media and Streaming,u_shape,negative
Posting frequency (posts/day),Shares (count)
1.0,10.0
1.27,8135.1
1.54,12229.89
1.81,24008.37
2.09,31127.74
2.36,23880.77
2.63,32257.21
2.9,47947.69
3.17,25761.12
3.44,42116.16
3.71,43988.4
3.99,40456.4
4.26,48591.39
4.53,57435.34
4.8,64648.0
5.07,55178.15
5.34,64457.45
5.61,71394.17
5.89,64503.15
6.16,68797.61
6.43,72396.81
6.7,77409.66
6.97,77849.33
7.24,73231.54
7.51,74989.6
7.79,75261.22
8.06,78032.45
8.33,82183.94
8.6,86589.56
8.87,76113.8
9.14,86088.23
9.41,81229.79
9.69,84542.66
9.96,78216.07
10.23,100000.0
10.5,85649.54
10.77,91451.65
11.04,90408.21
11.31,92571.33
11.59,89327.61
11.86,92281.53
12.13,83047.09
12.4,77571.06
12.67,64733.49
12.94,75408.01
13.21,73821.54
13.49,64821.93
13.76,73241.3
14.03,72272.68
14.3,81728.07
14.57,59819.9
14.84,66906.55
15.11,66661.11
15.39,63344.2
15.66,71734.58
15.93,63681.92
16.2,63281.87
16.47,43429.51
16.74,51552.84
17.01,48416.01
17.29,39855.03
17.56,39030.08
17.83,31923.94
18.1,30266.33
18.37,27700.95
18.64,28542.96
18.91,28367.09
19.19,22635.83
19.46,15590.81
19.73,8511.04
20.0,5403.67
