Social Media and Digital Media and Streaming,the Pattern of Social Media and Digital Media and Streaming,linear,negative
Ad spend ($),Conversion rate (%)
100.0,6.5
1507.04,9.38
2914.08,5.23
4321.13,5.27
5728.17,7.86
7135.21,6.53
8542.25,6.38
9949.3,7.02
11356.34,5.53
12763.38,10.0
14170.42,5.57
15577.46,5.03
16984.51,4.67
18391.55,5.1
19798.59,3.4
21205.63,5.95
22612.68,5.2
24019.72,6.32
25426.76,5.05
26833.8,5.39
28240.85,7.86
29647.89,3.81
31054.93,7.38
32461.97,7.28
33869.01,5.53
35276.06,1.88
36683.1,7.77
38090.14,5.74
39497.18,3.65
40904.23,6.02
42311.27,3.8
43718.31,6.02
45125.35,7.83
46532.39,5.49
47939.44,5.07
49346.48,7.71
50753.52,4.49
52160.56,4.59
53567.61,6.85
54974.65,6.1
56381.69,3.12
57788.73,4.86
59195.77,7.32
60602.82,5.39
62009.86,7.65
63416.9,7.35
64823.94,5.33
66230.99,2.79
67638.03,5.55
69045.07,5.65
70452.11,6.65
71859.15,4.97
73266.2,6.58
74673.24,4.49
76080.28,4.72
77487.32,4.72
78894.37,3.2
80301.41,2.92
81708.45,3.64
83115.49,4.99
84522.54,2.13
85929.58,5.12
87336.62,5.4
88743.66,1.22
90150.7,3.28
91557.75,0.0
92964.79,2.71
94371.83,0.7
95778.87,2.13
97185.92,3.97
98592.96,3.72
100000.0,5.62
